"","Table 1AU2# Real Manufacturing and Trade Inventories, Seasonally","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219"
"11","3","  Durable goods","WKSMD0",153171,154591,155474,156704,157776,157937,159389,162363,160816,161445,162811,163398,163787,164711,164429,165602,166080,166100,165853,168699,168646,169074,169157,169759,171148,171709,172802,173557,174151,174222,175798,176888,175940,178022,178266,179227,178658,177916,178072,179222,178177,177239,179246,180215,179200,179397,179623,177673,178054,177155,177454,177663,177393,175728,175489,175595,174377,173813,172780,172076,173308,172567,172502,172638,173262,173237,173584,175971,176387,177216,178032,178332,179208,180206,182102,183469,184404,186431,188510,190888,192581,194137,195500,198254,199135,200256,200856,202266,203070,203619,205526,205931,207575,208905,209640,212735,213811,214738,212962,213798,213034,210872,210336,208084,206705,206068,204938,203333,202649,202159,203129,203645,204125,205323,206329,206450,207968,210149,211047,212303,213270,213447,212983,213349,213951,213393,214272,214844,215678,215390,216408,217040,217279,218238,219278,220471,222167,223599,224588,225998,227129,228178,229962,231193,233608,235238,235587,237342,237973,239847,240744,241833,241964,243986,245033,245921,247526,247194,248212,250254,250016,248920,248313,247351,245483,243876,243938,245920,247935,248170,248284,247954,247278,247432,248294,248438,250058,250296,250513,247977,245961,245069,243766,243542,242400,242495,241703,240994,239889,239010,235815,233891,230240,229349,226158,226913,227886,227090,226575,227672,227526,228168,229781,231436,230568,232946,236244,238774,241873,244386,247317,250793,252696,255182,255421,256140
"12","4","    Lumber and wood products","WKS240",9010,9016,8951,9107,9293,9293,9180,9156,8970,8859,8994,8953,9010,8983,8760,8809,8754,8587,8635,8561,8509,8815,8825,8719,8813,8731,8603,8930,9148,9405,9656,9845,10106,10188,10153,10307,10472,10404,10305,10623,10477,10586,10831,11038,11256,11371,11403,11482,11419,11480,11431,11791,11463,11492,11590,11595,11650,11283,11097,11070,11176,11190,11424,11629,11490,11503,11346,11133,10970,11209,11375,10971,11022,10976,10592,10733,10826,10682,10665,10573,10593,10623,10850,11042,11072,10922,10711,11061,11321,11435,12060,12142,12258,11966,11949,11863,11577,11442,11321,11147,11174,11183,11259,11285,11307,11227,11106,10923,11173,11095,11222,11177,11354,11535,11628,11709,11831,11753,11949,12015,12440,12391,12314,12363,12180,11961,11870,11678,11666,11798,11561,11938,11865,12103,12005,11962,11938,12025,12029,11869,11782,11943,12099,12081,12312,12411,12333,12427,12416,12481,12215,12239,12207,12346,12519,12630,12646,12528,12720,12706,12508,12322,12335,12662,12557,12564,12652,12752,12734,12712,12589,12691,12953,12919,12989,12837,12839,12656,12431,12159,11886,11524,11398,11430,11309,11315,11359,11325,11301,11197,11188,11122,11320,11516,11560,11560,11647,11742,11911,12016,12015,12224,12216,12119,12255,12311,12506,12665,12597,12398,12475,12569,12668,12849,12771,12832
"13","5","    Furniture and fixtures","WKS250",3581,3605,3677,3741,3713,3673,3669,3629,3645,3712,3768,3811,3834,3881,3842,3831,3866,3889,3947,3908,3943,3908,3939,3882,3875,3995,3999,4024,4160,4167,4229,4277,4362,4432,4414,4392,4495,4524,4473,4513,4491,4484,4480,4556,4560,4574,4639,4679,4640,4604,4671,4738,4784,4875,5001,5049,4871,4899,4917,4826,4937,4943,4988,5005,5086,5093,5151,5148,5222,5246,5364,5330,5414,5410,5518,5518,5543,5664,5601,5679,5695,5779,5785,5758,5806,5809,5860,5934,5945,5846,5925,5921,5863,5976,5873,5811,5865,5713,5560,5441,5424,5192,5158,5079,5071,5031,5079,5229,5207,5323,5422,5506,5420,5566,5491,5487,5458,5529,5543,5648,5653,5645,5583,5679,5728,5780,5811,5762,5830,5865,5964,5835,5783,5854,5911,5932,5997,6020,6169,6273,6265,6170,6200,6232,6335,6392,6409,6339,6334,6378,6425,6453,6345,6343,6363,6392,6575,6461,6449,6487,6490,6430,6342,6347,6356,6332,6283,6304,6192,6199,6330,6343,6354,6402,6420,6493,6495,6524,6581,6525,6477,6427,6408,6365,6403,6411,6353,6132,6232,6224,6197,6120,6071,6012,5992,5992,6095,6187,6237,6338,6428,6588,6705,6642,6721,6772,6839,6999,6924,6947,6995,7103,7208,7222,7338,7325
"14","6","    Stone, clay, and glass products","WKS320",7716,7703,7782,7868,7892,7886,7905,7813,7716,7710,7540,7570,7373,7224,7088,6934,6929,6864,6887,6911,6988,7135,7454,7733,8060,8500,8386,8443,8364,8499,8459,8381,8319,8179,8085,7996,8116,8250,8289,8396,8407,8230,8347,8390,8485,8511,8475,8370,8455,8374,8369,8359,8468,8434,8493,8390,8316,8302,8238,8282,8218,8335,8204,8372,8349,8363,8353,8472,8582,8582,8597,8616,8507,8493,8647,8518,8698,8932,9260,9051,9069,9129,9170,9394,9477,9507,9689,9937,10020,10222,10434,10661,10599,10560,10668,10642,10792,10835,10864,10905,10710,10557,10401,10320,10377,10497,10461,10590,10459,10308,10094,10246,10300,10391,10501,10609,10574,10717,10686,10903,10977,10817,10493,10674,10677,10710,10876,10766,10842,10907,11120,10870,11185,11263,11330,11252,11281,11273,11317,11462,11586,11429,11601,11735,11732,11739,11758,11939,11942,12024,12073,11989,11809,11982,12021,11929,11979,11974,12240,12333,12171,12212,12095,11867,11698,11725,11723,11857,12014,12081,12007,11876,11893,11867,11859,12040,12252,11862,11818,11788,11726,11756,11551,11420,11369,11273,11148,11195,11152,11196,11091,10980,10750,10916,10919,10982,10952,10945,11054,11032,11019,11169,11188,11272,11193,11243,11388,11497,11652,11813,11918,12080,12196,12237,12276,12337
"15","7","    Primary metals","WKS330",29599,29913,30181,30852,31250,31638,32061,31768,31696,31808,31653,31772,31743,31504,31535,31375,30963,30553,29638,30259,30595,30450,30621,30771,30425,30435,30562,30475,30607,30939,31156,31361,31315,31265,31239,31212,30948,30725,31174,32065,32204,32242,32660,32979,32876,33488,34100,33890,34738,35008,35234,34551,34223,33840,32399,32662,33630,33952,33550,33524,33807,34124,34616,34784,34992,35226,35456,35836,35915,35747,35439,35392,35214,34831,34194,34091,33855,33566,33651,33455,33520,33439,32999,33303,33433,33196,32870,32632,32665,32798,33193,33506,34042,34711,34856,36520,37800,39573,40113,40924,41585,41888,41835,41752,41133,41365,41668,41309,41362,41661,42100,42235,42394,42372,42580,43017,43303,43822,43763,44117,44335,44479,44442,44338,44508,44483,44633,44401,44298,44188,43711,43386,43023,42324,41696,42014,42231,42495,42574,42735,43041,43123,43821,43439,42871,42478,41846,42736,41810,42608,42814,43247,43044,42890,43070,43709,43362,43274,43187,43519,44097,44137,43838,42942,42122,41755,41839,42234,43079,43614,44103,43561,43133,43394,43870,44320,44996,45080,45338,45674,46098,45841,45071,43912,43112,42598,42152,41705,41289,40910,40034,39160,38619,38337,37134,37698,37409,36929,36639,36530,36273,36339,36774,36502,36411,36752,36987,37439,38023,38107,38255,38525,38657,38071,37677,37331
"16","8","    Fabricated metals","WKS340",24772,24971,25274,25363,25408,25274,25061,25456,25490,25775,26006,26123,26205,26559,26500,27211,27651,28100,28389,28465,28339,28862,28617,28966,28814,28103,28528,28797,28777,28619,28340,27794,27706,27764,27704,28033,27921,27845,27628,27572,26921,26729,27011,27094,27289,26806,27439,26900,26897,26821,27137,27725,28079,28473,28685,28437,27993,27924,26993,26684,26807,26602,26301,25929,25978,26210,25348,26083,26535,27354,26954,27256,27547,27922,28467,28529,28720,29369,29434,29924,30078,30004,30745,30801,30839,31243,31473,32167,31967,32598,32804,33009,33051,33552,33919,34836,34727,34988,34917,34869,34846,34258,34129,33937,33714,33381,33150,33095,33213,32825,32851,32619,32732,32964,33139,33122,33602,34323,34527,34616,34766,34512,34403,34512,34635,34706,35106,35477,35596,35524,35756,35623,35614,36053,36368,36608,36721,36793,37084,37170,37095,37366,37195,37270,37599,37738,37919,37972,37961,38291,38147,38097,38118,37754,38329,38090,38238,38163,38187,38139,38005,37237,36927,36718,36409,35812,36461,36964,37109,36697,36385,36151,35970,35894,36018,36059,36246,36190,36232,35680,35247,35166,34991,34990,34990,34828,34524,34569,34502,33872,32777,32196,31922,31810,31552,31764,31877,31951,32342,32737,32512,32135,32549,32717,32819,33090,33206,33297,33500,33866,33678,33798,34146,34362,34713,34596
"17","9","    Industrial machinery","WKS350",18367,18590,18720,18834,18991,18964,18944,18940,19028,19055,19141,19259,19004,18944,18992,19177,19213,19195,19117,19272,19422,19319,19432,19617,19938,20269,20414,20500,20710,20865,21267,21388,21525,21834,22053,22066,22188,22333,22475,22568,22668,22699,22982,23000,23059,23179,23215,23323,23064,23090,23084,22995,22935,22892,22807,22690,22583,22597,22511,22236,22057,21951,21871,21866,21905,21950,22061,22306,22597,22673,23049,23427,23966,24408,24987,25473,26071,26592,27145,27473,27988,28469,28929,29234,29586,30016,30189,30653,30994,31104,31583,31910,32273,32555,33297,33405,33378,33470,33614,33549,33240,32771,32712,32464,32119,31810,31248,30645,30532,30391,30335,30227,30221,30307,30293,30380,30529,30791,30791,31040,31156,31128,31122,31051,31014,31060,31081,31077,31051,31189,31572,31929,32171,32270,32658,32913,33273,33582,33774,33978,34252,34625,34773,35483,35658,35984,36468,36638,36944,37339,37452,37871,38141,38559,38665,38990,39504,39630,39795,40536,40780,40699,40961,40856,40780,40424,40610,40680,40779,40808,40790,40543,40527,40588,40878,40975,41262,41349,41499,41373,41217,41047,40920,41111,41086,40841,40728,40328,39844,39910,39042,38257,37567,37370,36935,36748,36778,36713,36359,36316,36369,36349,36462,36299,36192,36226,36410,36843,37091,37411,37760,38411,38423,38793,38972,38942
"18","10","    Electronic machinery","WKS360",9127,9198,9205,9226,9234,9279,9323,9456,9472,9569,9659,9737,9749,9831,9833,9921,10024,10016,10068,10050,10111,10106,10119,10204,10266,10361,10587,10696,10985,10935,11005,10991,11061,11112,11124,11141,11177,11166,11122,11186,11027,11096,11316,11260,11292,11407,11342,11223,10956,10787,10840,10753,10655,10677,10544,10462,10463,10318,10358,10415,10433,10365,10434,10513,10569,10506,10564,10712,10833,10752,10887,10949,11399,11457,11703,11944,12156,12472,12799,13164,13328,13625,13833,14064,14275,14519,14578,14724,14735,14718,14740,14695,14703,14678,14626,14536,14604,14514,13948,13819,13653,13438,13348,13000,12879,12839,12805,12614,12542,12491,12657,12840,12895,13085,13248,13339,13462,13667,13825,14049,14076,14232,14447,14532,14766,14930,14901,15107,15211,15308,15411,15617,15667,15884,16139,16340,16602,16846,16917,17067,17310,17319,17528,17475,17967,17986,18160,18204,18417,18607,18836,18881,19081,19302,19478,19937,20115,20309,20348,20532,20432,20307,20367,20202,20175,20133,20062,20126,20320,20529,20507,20891,20797,20932,21059,21132,21309,21453,21502,21050,20672,20605,20622,20596,20522,20530,20487,20476,20365,20330,20370,20131,19957,19750,19605,19640,19745,19959,19862,20021,20088,20246,20415,20988,20744,21067,21297,21525,21754,21972,22273,22639,22906,23284,23405,23384
"19","11","    Transportation equipment","WKS370",56595,57299,57621,58044,58646,58684,60292,63736,61681,61821,63033,63125,64224,65256,65153,65827,66139,66218,66153,69129,68343,68162,67713,67346,68299,68015,68175,68211,67593,66757,67475,68874,67032,69103,69138,70107,69126,67778,67387,67180,66464,65188,65830,66611,64820,64539,63891,62062,62767,61830,61665,61855,61782,59625,60629,61044,59289,58788,58689,58541,59898,59021,58770,58393,58578,58266,58928,60374,59511,59688,59866,59582,59017,58981,59511,59877,59303,59746,60434,61768,62337,62439,62149,63478,63036,62961,63127,62600,62626,62018,61962,61277,61666,61639,60893,62269,62601,62381,60911,62071,61596,60916,61110,59809,59602,59594,59235,58889,58092,57942,58400,58659,58704,59027,59343,58417,58896,59297,59688,59466,59782,59762,59091,59133,59155,58199,58565,59009,59654,58583,59070,59359,59093,59544,59970,60144,60779,61004,61152,61774,61886,62121,62841,63337,65049,66655,66052,67053,67862,67635,68283,68589,68595,70640,70506,69636,69573,69055,69891,70331,69332,69161,68513,68790,68187,67737,66730,68058,69022,68593,68712,68442,68124,68063,67791,67015,67084,67362,66957,65273,64150,63904,63627,64191,63807,64734,64864,65374,65413,65522,65223,66804,65142,65082,63535,63771,64499,63535,63233,63714,63413,63705,64139,65286,65059,66191,68232,68906,70632,71682,73434,74814,75783,77043,76370,77356
"20","12","      Motor vehicles","WKS3710",16118,15988,15413,15191,14585,14320,14879,17578,15429,15103,15472,15306,15917,15943,15789,16044,15924,15898,16197,18555,16949,16680,16448,16231,16918,16407,16344,16293,16290,15929,16446,17903,16015,16254,16315,16312,16823,16302,15734,15674,15206,14633,15015,16644,15133,15452,15596,15502,15573,15287,15227,15541,15770,15883,16252,17346,15424,15384,15503,15286,15765,15599,15595,15640,15647,15347,15941,17230,16131,16376,16200,16278,15685,15921,16218,16497,16645,17081,17310,18073,18246,17972,17727,18565,18168,17926,17960,17423,17204,17043,17027,16683,17134,16933,16416,17643,16975,16780,16465,16704,16359,16332,16415,16065,15622,15389,15180,15337,15188,15531,15916,16335,16644,16870,17391,16724,17224,17993,18176,18612,18607,18904,18832,18778,19210,19562,19603,19654,20078,19823,20154,20107,20242,20011,20042,19950,20029,20287,19969,20602,20803,20563,21106,20807,22025,23008,22648,23038,22960,22004,22600,22721,21699,22608,21509,20187,19611,19209,18999,19230,18298,17728,16991,16865,16728,16430,16124,16684,16659,16403,16336,16085,15897,15748,15594,15361,15439,15387,14960,14403,14237,13953,13870,13668,13579,13711,13582,13504,13334,13085,12761,12787,12625,12782,12787,13046,13352,13230,13317,13535,13671,13952,14307,14694,14875,15005,15209,15082,15450,15533,15771,15875,16031,16370,16061,16224
"21","13","      Other","WKS37X0",39838,40682,41611,42270,43511,43828,44855,45474,45672,46155,46984,47252,47709,48720,48779,49187,49628,49735,49352,49840,50756,50861,50655,50517,50742,51002,51231,51322,50703,50247,50418,50271,50431,52262,52232,53213,51674,50874,51090,50946,50726,50053,50291,49328,49145,48519,47708,45962,46597,45959,45857,45707,45383,43073,43686,42902,43234,42769,42534,42625,43474,42765,42514,42080,42260,42275,42292,42341,42674,42584,42957,42583,42665,42367,42576,42639,41891,41859,42305,42818,43205,43612,43588,44012,44004,44199,44333,44396,44668,44231,44195,43886,43776,43983,43816,43818,44939,44939,43788,44709,44619,43948,44051,43115,43416,43681,43555,43012,42359,41804,41828,41608,41294,41364,41085,40899,40814,40338,40528,39791,40124,39758,39148,39255,38772,37371,37703,38103,38274,37463,37580,37936,37501,38239,38645,38933,39500,39429,39958,39857,39736,40264,40372,41239,41580,42084,41882,42460,43391,44285,44253,44427,45642,46687,47860,48532,49152,49088,50207,50388,50454,50948,51146,51580,51113,50990,50301,51023,52050,51904,52105,52119,52009,52121,52020,51488,51467,51816,51899,50806,49848,49920,49738,50541,50253,51060,51339,51949,52179,52566,52619,54208,52691,52461,50879,50840,51250,50402,50001,50255,49801,49795,49856,50607,50177,51189,53049,53875,55233,56214,57742,59038,59856,60770,60421,61249
"22","14","    Instruments","WKS380",7588,7597,7615,7657,7657,7639,7686,7708,7718,7742,7764,7752,7715,7754,7735,7696,7673,7702,7724,7716,7730,7773,7814,7867,7939,8013,8036,8058,8028,8107,8121,8087,8084,8050,8068,8058,8018,8112,8219,8296,8323,8320,8336,8300,8298,8207,8141,8133,8132,8137,8132,8146,8153,8118,8087,8145,8170,8217,8274,8267,8331,8370,8328,8367,8366,8301,8381,8404,8425,8487,8485,8467,8302,8379,8522,8538,8531,8615,8628,8730,8770,8843,8908,9037,9094,9195,9278,9386,9473,9582,9685,9582,9715,9727,9718,9831,9788,9689,9637,9576,9556,9507,9438,9464,9518,9519,9510,9506,9549,9488,9485,9521,9545,9589,9627,9658,9715,9781,9885,9923,9858,9891,9909,9914,9960,9932,10030,10069,10134,10193,10225,10219,10268,10348,10408,10437,10453,10506,10506,10570,10656,10716,10731,10771,10860,10918,11014,11043,11096,11156,11217,11205,11141,11083,11084,11133,11458,11440,11369,11363,11406,11396,11434,11428,11351,11419,11471,11478,11540,11557,11544,11625,11661,11582,11544,11508,11566,11548,11570,11567,11523,11538,11462,11478,11411,11505,11486,11476,11516,11462,11404,11288,11101,11004,10957,11079,11175,11140,11208,11331,11393,11415,11500,11681,11515,11808,12074,12235,12492,12742,12983,13142,13195,13430,13508,13636
"23","15","    Other manufacturing","WKS390",4488,4564,4522,4471,4467,4488,4467,4526,4547,4569,4577,4648,4653,4605,4609,4634,4681,4702,4799,4799,4837,5068,5068,5056,5039,5213,5357,5324,5381,5455,5635,5702,5754,5734,5690,5658,5709,5752,5768,5878,5858,5885,5932,6021,5998,6064,6141,6126,6332,6290,6263,6419,6552,6564,6590,6578,6623,6593,6604,6642,6536,6502,6495,6668,6953,7032,6898,6839,6869,6824,7024,7002,6942,7131,7242,7152,7108,6938,6898,6935,6903,7079,7129,7412,7465,7424,7542,7476,7492,7500,7466,7622,7816,8050,8007,8001,7919,7690,7499,7478,7376,7230,7089,6874,6840,6774,6779,6870,6735,6887,6974,7063,7109,7134,7278,7315,7369,7431,7352,7421,7452,7638,7741,7836,7916,7834,7794,7801,7818,7853,7932,7844,7997,7874,7739,7729,7726,7765,7857,7973,7934,7949,8023,8058,7967,7905,8000,7760,7720,7812,7698,7634,7540,7494,7452,7305,7363,7229,7262,7380,7460,7516,7396,7418,7271,7141,7097,7065,7098,7133,7158,7229,7121,7013,7023,7133,7136,7189,7299,7302,7293,7447,7584,7560,7647,7783,7797,7767,7763,7580,7422,7180,7048,7090,7026,7032,7083,6993,6975,6972,7053,7121,7140,7086,7126,7033,7221,7290,7382,7553,7633,7702,7870,7924,8028,8129
"24","16","  Nondurable goods","WKSMN0",119553,120607,121522,122485,122737,122645,122589,122907,123796,123759,124203,125036,125932,125577,125642,126138,127347,128091,129533,130731,130816,131506,132277,132539,132198,133227,133453,134118,134833,134231,134536,135776,136557,136143,136644,136220,135641,136796,136629,137800,137908,138644,138045,137974,137965,138752,139366,138557,139694,139439,139325,139124,139866,140555,139929,140337,140766,142634,142994,142268,142183,142089,142422,142464,142814,143991,143985,145263,145081,145003,144614,143774,144024,144644,144856,144972,145200,145492,145371,142692,142608,143835,144449,144498,145197,146026,146735,149525,150579,151532,151625,152066,152594,152118,153792,156028,156749,155792,155313,154060,152731,152325,151408,151883,153072,154814,156333,157613,158507,159185,159743,160075,161283,162792,163360,164222,165456,166281,166484,166139,165279,165743,166385,167359,168941,169351,170328,171069,172335,173480,172982,172480,172401,171983,171313,171645,171711,172251,172754,173465,173074,172544,173406,174420,173587,173186,173089,172995,172144,172581,171982,172447,173328,172127,171685,172800,174923,175802,177233,178237,178584,178427,177475,175067,174904,173660,173069,173358,173536,174184,175415,175251,177461,176453,176154,175975,176761,176940,177357,177344,177588,177385,177999,177225,174347,173544,174885,174912,174080,174324,174407,173595,173079,172614,171064,170808,170748,172015,173761,174407,175863,176755,176524,176435,176472,178309,179843,180881,183378,185063,185827,187125,188115,187726,186362,185102
"25","17","    Food and kindred products","WKS200",28967,29310,29646,29931,29927,29793,29922,30042,30087,30359,30452,30918,31053,30857,30815,30555,30949,31231,31940,32536,32534,32751,32576,32372,31922,31783,31818,32112,32256,32417,32118,32805,32961,32212,32321,32158,31971,32515,32606,32874,32817,32849,32349,32048,31876,32255,32593,32345,32724,32299,32232,31943,32423,32815,32209,32719,32991,33893,33657,33542,33443,33491,33301,33738,33614,34333,34391,34995,34482,34236,33924,33108,33580,33482,33047,32773,32868,33186,33044,31425,31699,32488,33233,33199,33031,33352,34205,35384,35518,35732,35356,34974,34455,33570,33730,33938,33824,33664,33634,33681,33412,33167,32720,33211,34051,34835,35653,36503,36837,36944,36910,36992,37314,37960,38387,39107,39028,38688,39062,38958,38921,39269,39182,39513,40043,40017,39899,40271,40718,40680,39941,38951,38894,38245,38341,38353,38530,38451,38378,38711,38701,38779,38711,39094,38966,39289,39414,39340,39571,40014,39556,39361,39812,39398,39304,39804,39948,40202,40346,40345,40069,40092,40407,39542,39606,39276,39247,39137,39070,39184,39623,39647,39980,39906,39731,39687,40129,40073,40218,39734,39165,39022,38756,38848,38157,37815,38570,38502,38803,39274,39477,39249,39397,38981,38738,38462,38066,37783,37749,38134,38358,38089,37996,37995,38083,38272,38486,38094,38716,38533,38571,38459,38374,38080,38371,38282
"26","18","    Tobacco products","WKS210",8436,8624,8545,8540,8541,8575,8584,8593,8668,8534,8627,8671,8812,8701,8590,8589,8632,8645,8544,8415,8263,8112,8149,8241,8089,8073,8146,8045,8122,8099,8137,8164,8138,8082,8017,7863,7705,7613,7587,7551,7503,7483,7473,7428,7381,7348,7367,7181,7205,7397,7208,7188,7169,7160,7057,6823,6984,6995,7015,7166,7208,7136,7202,7277,7254,7229,7291,7381,7499,7473,7629,7788,7465,7484,7498,7578,7679,7683,7648,7706,7678,7682,7724,7756,7981,7998,8060,8057,8050,8143,8266,8361,8282,8223,8530,8849,9021,8923,8889,8867,8933,9053,9221,9167,9009,9363,9308,9366,9331,9563,9670,9699,9763,9588,9783,9786,9705,9675,9543,9403,9372,9349,9319,9351,9312,9300,9553,9311,9335,9297,9222,9224,9021,9053,8962,9021,9000,8888,8725,8537,8614,8697,8904,8904,8870,8722,8754,8708,8664,8774,8621,8722,8620,8464,8240,8084,8096,8151,8079,8035,8061,8111,8172,8092,8265,8331,8424,8051,8311,8205,8228,8064,8078,7860,8037,8175,8266,8340,8342,8617,8991,9059,9130,9614,9773,9876,10184,10050,9813,9722,9722,9831,9282,9246,9278,9475,9497,9865,10440,9936,9934,9851,9694,9440,9289,9089,8981,8859,8848,8823,8737,8867,9075,9045,8959,8951
"27","19","    Textile mill products","WKS220",7062,7088,7120,7190,7204,7220,7197,7253,7334,7276,7285,7307,7457,7526,7614,7607,7667,7763,7665,7775,7825,7838,7854,8008,7955,8034,8059,8118,8093,8075,8007,8165,8154,8107,8094,8129,8102,8138,8131,8178,8230,8230,8239,8300,8322,8432,8417,8405,8446,8519,8564,8467,8451,8552,8521,8579,8606,8689,8802,8526,8430,8403,8566,8620,8670,8641,8588,8540,8479,8596,8525,8484,8451,8527,8632,8583,8563,8507,8405,8280,8175,8022,7990,8021,8083,8004,8170,8186,8213,8280,8417,8468,8555,8518,8605,8623,8432,8282,8152,7992,7944,7901,7882,7905,7939,8109,8148,8033,8106,8153,8123,8151,8221,8221,8181,8244,8253,8203,8181,8245,8310,8460,8531,8663,8740,8816,8850,8896,8875,8973,8958,8983,9043,9012,8946,8846,8898,8940,9016,9011,9101,8976,8980,8863,8866,8865,8849,8810,8697,8631,8643,8669,8556,8554,8588,8591,8663,8674,8806,8763,8751,8695,8508,8376,8354,8367,8404,8518,8573,8633,8581,8532,8400,8471,8392,8309,8313,8261,8228,8215,8157,8086,7904,7833,7764,7553,7584,7490,7412,7287,7321,7299,7365,7367,7434,7546,7723,7841,7967,8074,8237,8397,8505,8510,8592,8606,8698,8695,8803,8852,8895,8935,8871,8864,8682,8598
"28","20","    Apparel products","WKS230",6626,6752,6819,6798,6710,6707,6777,6788,6979,6964,6917,6783,6956,6876,6769,7085,7272,7181,7275,7224,7136,7212,7484,7420,7572,7555,7616,7585,7702,7473,7575,7605,7588,7700,7728,7720,7557,7460,7321,7543,7623,7778,7887,8066,8053,8136,8006,7969,8349,8238,8309,8369,8416,8334,8283,8238,8281,8273,8510,8284,8203,8472,8411,8351,8320,8404,8391,8582,8638,8707,8699,8907,9231,9412,9477,9346,9305,9288,9154,9170,9080,9220,9161,8940,8681,8536,8350,8230,8185,8122,8151,8199,8285,8323,8375,8540,8649,8319,7990,7874,7781,7824,8069,7851,8016,8082,8327,8397,8644,8815,9051,9380,9535,9636,9381,9262,9455,9554,9379,9133,8992,8739,8941,8983,9112,9053,9076,9106,9138,9198,9344,9546,9641,9621,9495,9539,9558,9635,9688,9932,9917,9705,9918,10040,10105,10224,10337,10172,9967,9891,9972,9907,9823,9467,9376,9412,9538,9493,9553,9592,9662,9696,9621,9580,9542,9603,9418,9410,9401,9424,9443,9439,9674,9436,9440,9406,9351,9609,9909,9844,9823,9941,9738,9717,9633,9523,9537,9564,9393,9347,9245,9267,9063,9030,9017,8969,8958,9227,9352,9507,9685,9827,9898,10086,10372,10603,10745,10770,11090,11275,11318,11321,11365,11415,11408,11268
"29","21","    Paper and allied products","WKS260",7513,7582,7746,7805,7787,7801,7736,7764,7736,7695,7709,7622,7663,7751,7756,7761,7797,7935,7935,7921,7853,7863,7705,7822,7689,7706,7663,7641,7680,7575,7677,7708,7747,7914,7954,7967,8199,8295,8373,8469,8421,8692,8692,8906,8802,8751,8847,9065,9004,8991,8966,8902,8898,8999,8995,9049,9065,9194,9316,9199,9095,9119,9160,9058,9034,9083,9123,9204,9236,9172,9140,9128,9080,9150,9153,9149,9175,9341,9362,9245,9245,9245,9326,9576,9606,9671,9741,10107,10269,10452,10667,10751,11043,11263,11521,11782,12133,12045,11892,11592,11343,11330,11168,11338,11301,11291,11235,11162,11391,11334,11280,11336,11487,11590,11665,11657,11682,11719,11887,11729,11650,11684,11814,11829,11940,11935,12096,12196,12160,12330,12290,12214,12202,12192,12206,12267,12336,12444,12524,12408,12525,12252,12361,12407,12309,12136,12339,12460,12476,12543,12332,12376,12407,12463,12533,12738,12901,13084,13181,13347,13470,13604,13441,13520,13420,13297,13286,13216,13461,13506,13441,13352,13286,13347,13463,13466,13553,13566,13718,13722,13708,13918,14007,13959,13985,13932,13892,13935,13998,14022,13976,13814,13710,13703,13688,13634,13808,13864,13827,13899,13947,14214,14339,14243,14251,14391,14459,14636,14815,14958,15174,15272,15465,15588,15724,15656
