"","Table 2BUI# Implicit Price Deflators for Manufacturing and Trade","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210"
"29","21","    Apparel manufacturing","PK3153",95.505,95.578,95.727,95.472,95.857,95.933,95.926,96.058,96.184,95.945,96.284,96.23,96.401,96.368,96.3,96.349,96.383,96.466,96.584,96.52,96.696,96.89,96.746,96.739,96.807,96.815,96.871,96.898,97.04,96.618,96.432,96.945,96.981,96.939,96.996,97.057,96.91,96.968,97.139,97.157,97.076,97.15,97.358,97.28,97.379,97.406,97.344,97.402,97.402,97.451,97.269,97.315,97.226,97.117,97.143,97.287,97.18,97.226,97.218,96.919,96.874,96.792,96.617,96.415,96.466,96.47,96.462,96.462,96.55,96.668,96.672,96.767,96.364,96.342,96.562,96.462,96.32,96.214,96.078,96.256,96.399,96.446,96.409,96.41,96.368,96.226,96.274,96.381,96.538,96.255,96.168,96.195,96.74,96.909,97.096,97.015,96.929,96.769,96.253,96.229,96.334,96.448,96.314,96.33,96.831,96.34,96.323,96.21,96.407,96.572,96.59,96.601,96.648,96.577,96.538,96.748,96.798,97.153,97.062,97.034,97.542,97.754,97.689,97.809,97.665,97.638,97.704,97.748,97.753,97.935,97.97,97.964,98.149,98.141,98.403,98.65,98.639,98.565,98.784,99.054,99.306,99.636,99.793,99.801,100.072,100.049,100.088,100.043,99.852,99.865,99.769,99.82,100.026,100.148,100.12,100.128,100.038,99.984,99.985,100.226,100.179,100.201,100.309,100.382,100.034,100.04,100.078,100.206,100.364,100.998,101.072,101.35,102.089,102.27,102.665,102.602,103.007,102.944,103.018,103.073,103.419,103.614,103.628,103.713,103.728,103.723,103.706,103.854,103.984,104.372,104.553,104.758,104.91,104.898,105.151,105.079,105.042,105.103,105.321,105.313,106.139,106.172,106.182,106.244,106.203,106.193,106.474
"30","22","    Leather and allied product manufacturing","PK3163",88.251,88.575,88.473,88.687,88.029,87.613,87.707,87.554,87.599,88.279,88.782,88.325,88.165,88.029,87.973,87.596,87.711,87.694,87.924,87.672,87.731,87.605,87.231,87.447,86.812,86.995,86.919,86.964,86.831,87.126,87.249,87.307,87.457,87.665,87.691,87.725,88.08,88.21,88.109,88.281,88.01,87.911,88.094,88.419,89.006,89.029,89.652,89.981,90.122,90.869,91.268,92.513,92.98,92.324,92.255,92.515,91.621,91.288,90.874,90.46,90.911,90.517,90.567,90.657,91.063,91.554,91.89,92.669,92.584,92.421,92.77,92.896,92.934,93.042,93.062,93.445,92.89,93.226,93.313,93.179,93.658,94.009,94.201,94.135,94.333,94.483,94.566,94.269,94.183,94.316,94.464,94.311,94.237,94.201,94.409,94.466,94.489,94.563,94.632,94.598,94.63,94.801,94.916,94.773,94.71,94.858,94.893,94.855,94.954,95.123,95.434,95.895,96.026,95.996,96.111,96.266,96.233,96.491,96.627,96.781,97.44,97.466,97.831,98.072,98.024,97.871,97.873,98.298,98.314,98.654,98.782,99.11,99.676,99.935,100.03,100.08,99.861,100.556,100.721,101.005,101.354,101.191,101.012,100.966,100.782,100.95,100.846,100.078,100.049,99.965,99.616,99.945,99.917,99.48,99.214,99.217,99.327,99.541,99.669,100.565,100.948,101.123,101.373,101.748,101.83,102.905,102.942,103.247,104.028,104.744,104.902,105.423,106.202,106.968,107.776,107.867,107.714,107.468,106.832,106.265,106.599,106.558,107.989,108.969,108.986,108.69,108.929,109.052,109.738,110.098,110.222,110.524,112.025,112.53,113.798,114.381,115.056,115.534,115.589,115.433,114.821,114.693,114.863,115.352,115.822,117.439,117.936
"31","23","    Paper manufacturing","PK3223",75.716,75.16,74.556,74.14,74.121,74.261,74.452,74.937,75.815,76.182,77.005,77.827,78.045,78.184,78.052,77.678,77.649,77.426,77.325,77.045,76.577,76.02,75.626,75.349,74.981,74.85,75.269,75.765,76.114,76.468,76.901,77.625,78.403,79.081,79.246,79.408,79.799,80.06,81.263,82.47,83.252,83.457,83.45,83.506,83.714,83.695,83.672,83.62,83.535,83.531,83.52,83.587,83.231,83.112,82.903,82.31,82.194,81.821,81.516,81.612,81.281,80.897,80.657,80.702,80.335,80.376,80.52,80.916,81.236,81.582,81.724,81.65,81.567,81.646,81.452,81.579,81.725,81.59,81.457,81.579,81.337,81.189,81.181,81.22,80.682,80.808,80.827,81.468,82.243,83.234,83.987,84.975,85.376,85.839,86.034,86.293,86.549,86.869,87.257,87.463,87.592,87.588,87.47,87.114,86.953,86.977,87.849,88.1,88.605,89.852,90.555,90.622,91.643,92.526,92.695,92.967,93.343,93.492,93.322,93.627,93.819,93.784,93.712,93.918,93.895,93.966,94.117,94.238,94.633,95.507,96.103,96.357,97.013,97.519,97.868,98.347,98.723,99.205,99.993,102.164,103.468,103.988,103.89,103.87,103.279,102.718,102.222,101.296,100.138,99.469,98.783,98.452,98.347,98.3,98.528,98.649,98.715,99.884,101.053,101.823,103.644,104.537,105.17,105.254,105.849,105.989,106.214,106.465,106.757,106.846,107.438,107.605,107.899,108.183,108.469,108.397,108.369,108.21,107.835,108.265,108.211,108.653,108.797,108.652,108.655,108.49,108.282,108.204,107.905,108.464,109.783,109.993,109.981,110.067,110.104,110.181,110.741,111.471,111.701,111.847,111.835,112.765,112.967,113.202,112.249,112.929,112.985
"32","24","    Printing and related support activities","PK3233",84.294,84.31,84.254,84.418,84.403,84.494,84.713,84.861,84.928,85.748,85.86,85.908,86.135,86.165,86.308,86.584,86.543,86.453,86.637,86.68,86.739,86.915,86.941,86.984,86.682,86.732,86.91,86.928,87.018,87.033,87.115,87.254,87.243,87.48,87.655,87.726,87.768,87.91,88.309,88.727,88.818,89.501,89.681,89.788,89.862,90.221,90.195,90.363,90.46,90.605,90.721,91.111,90.879,90.764,90.83,90.661,90.627,90.598,90.651,90.428,90.6,90.689,90.349,90.519,90.517,90.554,90.63,90.5,90.534,90.529,90.532,90.597,90.669,90.895,90.899,90.92,90.997,91.063,90.895,91.029,91.039,91.094,91.114,91.084,91.238,91.242,91.465,91.856,91.844,91.922,92.249,92.319,92.779,92.859,93.079,93.133,93.477,93.356,93.526,93.568,93.634,93.838,94.155,94.317,94.598,94.726,94.796,94.911,95.304,95.649,95.859,95.972,96.083,96.262,96.347,96.579,96.69,97.037,97.107,97.127,97.118,96.976,97.214,97.397,97.532,97.585,97.818,98.015,98.194,98.381,98.477,98.688,99.116,99.41,99.444,99.933,100.108,100.246,100.651,101.124,101.45,101.417,101.27,101.284,101.174,100.642,100.66,100.466,100.337,100.238,99.283,99.145,99.269,99.449,99.586,99.575,99.291,99.408,99.466,99.488,99.596,100.011,100.217,100.048,100.119,100.393,100.816,100.806,100.723,100.764,100.928,101.226,101.323,101.388,101.535,101.666,102.088,102.162,101.938,101.928,101.824,101.88,101.984,101.915,102.198,102.076,102.087,102.171,102.163,102.321,102.487,102.445,102.573,102.517,102.605,102.604,102.55,102.631,102.686,102.855,102.924,102.998,103.017,102.949,102.77,102.938,103.138
"33","25","    Petroleum and coal product manufacturing","PK3243",44.738,43.928,42.758,40.12,38.019,37.342,36.363,37.896,37.305,37.562,37.652,37.935,35.608,33.692,32.096,31.724,31.218,30.275,30.158,28.409,27.889,29.172,28.708,27.227,28.393,27.064,29.184,34.191,33.263,32.825,35.8,38.19,39.046,38.621,40.923,45.102,45.797,50.242,53.644,48.477,47.562,52.986,52.338,50.399,54.228,54.277,56.649,56.322,54.773,53.658,50.599,52.337,53.162,51.262,46.011,46.925,50.058,41.921,40.479,37.991,37.411,37.984,41.71,45.447,43.3,44.345,46.076,46.241,48.043,52.095,51.01,51.909,56.461,66.628,67.686,53.303,48.419,52.331,53.433,55.278,53.877,53.457,55.51,59.607,64.037,63.796,62.219,63.298,66.063,65.014,67.768,68.828,70.556,79.124,82.48,75.843,76.49,80.965,84.922,84.462,79.877,84.44,88.756,94.933,108.327,118.235,101.257,105.295,107.6,103.19,103.845,110.999,112.613,117.27,113.507,118.005,102.345,99.155,103.337,108.984,93.586,97.826,109.37,119.566,126.419,123.627,130.455,118.886,123.173,122.964,140.907,132.936,135.932,137.623,155.605,160.507,177.429,187.565,198.372,176.32,176.345,137.69,100.982,75.328,81.046,80.124,76.212,84.801,94.328,109.149,103.415,115.421,110.724,110.4,118.693,116.839,126.842,120.084,128.057,132.498,134.869,129.521,128.661,131.223,130.366,136.466,139.99,143.554,148.558,155.257,172.084,182.323,189.389,183.349,182.996,175.322,178.181,170.385,172.195,167.836,171.958,174.98,186.102,187.087,179.532,169.643,165.152,176.293,185.829,181.354,166.596,162.913,164.5,177.294,172.631,169.484,169.13,169.022,169.066,173.307,172.313,167.431,160.847,162.48,162.933,166.483,169.323
"34","26","    Chemical manufacturing","PK3253",66.833,66.872,66.837,66.781,66.872,66.874,66.935,66.947,66.973,67.062,67.11,67.12,67.058,67.021,68.009,67.946,67.958,67.933,67.928,67.898,67.705,67.628,67.594,67.548,67.424,67.235,67.225,67.227,67.476,67.794,68.146,68.153,68.467,69.239,69.324,69.328,69.423,69.575,69.653,69.789,70.166,70.279,70.65,70.837,71.091,71.229,71.154,71.248,71.852,72.213,72.334,72.398,71.934,71.849,71.008,70.616,70.801,70.424,70.411,70.061,70.018,69.991,70.375,70.442,70.382,70.552,71.23,71.302,71.33,71.818,71.986,71.7,72.348,72.928,73.875,74.339,74.22,74.102,73.83,73.651,73.802,73.986,73.951,74.07,74.675,75.014,75.431,75.927,76.115,76.779,77.334,77.988,78.964,79.756,80.405,81.129,81.89,82.128,82.68,83.191,83.15,82.936,83.316,83.389,83.962,85.73,86.897,86.87,87.473,87.664,87.663,87.224,87.631,87.781,87.92,88.241,88.339,88.509,88.274,88.506,88.609,88.867,89.312,89.612,89.934,90.378,90.78,91.172,91.063,91.931,93.027,93.469,94.888,95.768,96.946,97.906,99.281,100.677,103.838,105.069,106.306,105.172,103.873,102.147,100.897,100.412,100.152,99.665,99.141,98.903,99.637,99.466,100.077,100.13,100.291,101.164,101.556,102.697,102.976,103.842,103.654,103.462,103.695,103.905,104.198,104.887,105.04,105.488,107.5,108.595,109.511,110.85,112.058,112.297,113.089,112.756,113.503,113.269,113.017,112.845,113.903,114.368,115.244,115.729,115.708,115.019,114.784,114.535,114.343,114.748,114.48,114.053,115.335,116.197,116.378,116.671,116.536,116.993,116.838,116.126,115.835,115.692,115.381,115.837,117.223,117.848,118.202
"35","27","    Plastics and rubber product manufacturing","PK3263",77.315,77.295,77.24,77.397,77.429,77.411,77.383,77.376,77.278,77.229,77.295,77.247,77.236,77.25,77.268,77.207,77.11,77.054,76.895,76.792,76.712,76.593,76.554,76.594,76.498,76.488,76.509,76.771,76.827,77.049,77.16,77.413,77.51,77.652,77.888,77.968,78.137,78.164,78.17,78.373,78.299,78.664,79.157,78.934,79.133,79.052,79.623,79.637,79.612,79.536,79.903,79.818,80.022,79.973,79.911,79.552,79.392,79.296,79.335,79.26,79.073,78.797,78.934,79.12,79.308,79.654,79.519,79.698,79.956,79.964,79.659,79.7,80.015,80.649,81.205,81.762,81.795,81.604,81.483,81.435,81.316,81.274,81.205,81.385,81.479,81.786,81.924,82.126,82.378,82.721,82.996,83.07,83.92,84.501,85.093,85.669,86.474,86.986,87.534,87.779,87.874,88.186,88.308,88.082,88.972,90.195,91.609,92.153,92.854,92.907,92.763,92.816,92.732,92.83,93.135,93.393,93.528,93.726,93.57,93.575,93.269,93.16,93.037,93.047,93.262,93.357,93.688,94.235,94.241,94.538,94.851,95.405,96.276,96.656,97.191,97.514,98.402,98.99,100.89,101.843,102.623,103.072,102.658,101.71,100.991,100.079,99.871,99.886,99.862,99.561,99.416,99.473,99.899,100.087,100.366,100.481,100.636,101.165,101.818,102.522,102.93,103.481,103.334,103.38,103.631,103.851,104.38,104.8,105.991,106.736,107.547,108.416,109.542,110.514,110.737,110.585,110.634,110.802,110.654,110.593,110.764,111.211,111.617,112.031,112.206,112.173,112.077,111.564,111.698,111.745,111.771,111.851,112.427,112.872,113.773,113.916,114.123,114.02,114.271,114.29,114.186,114.115,114.205,114.11,114.211,114.405,114.421
"36","28","Merchant wholesale industries","PK42W3",88.67,88.358,88.348,87.833,87.325,86.784,86.516,86.656,86.428,86.487,86.163,86.095,85.191,84.816,84.385,84.038,83.684,83.191,83.184,82.167,81.921,82.14,81.814,81.436,81.661,81.131,81.377,81.918,81.901,81.961,82.153,82.655,83.03,82.94,83.267,83.876,83.987,84.796,85.258,84.551,84.775,85.09,84.858,84.336,85.1,85.267,85.532,85.219,85.005,84.683,84.244,84.22,84.343,84.004,83.227,83.175,83.459,81.972,81.518,81.141,81.117,81.317,82.001,82.04,81.898,81.981,82.47,82.711,83.17,83.763,83.26,83.264,84.163,85.535,85.72,83.854,83.399,83.839,83.812,84.253,84.475,85.042,85.442,86.12,86.814,87.037,87.501,87.936,88.634,88.194,88.588,89.084,89.427,90.909,91.112,90.4,90.726,91.281,92.181,92.044,91.389,91.676,92.247,93.026,94.629,95.519,94.178,94.916,95.395,94.852,95.008,96.098,96.64,97.172,97.04,97.553,96.168,95.926,96.688,97.547,96.873,98.085,98.724,99.278,99.451,99.47,99.956,99.602,100.935,102.133,104.861,105.08,106.321,107.056,108.685,109.351,111.156,113.062,114.361,112.793,112.633,107.105,101.863,97.634,98.235,97.748,96.643,97.271,98.238,100.168,98.562,101.068,101.062,102.536,103.658,104.759,106.597,106.034,107.04,106.967,105.518,103.616,103.671,104.791,106.352,108.647,109.827,112.037,113.555,115.97,116.556,117.513,116.336,115.8,116.181,115.816,117.449,116.932,117.912,118.296,118.464,118.962,119.388,118.504,116.533,115.214,115.794,117.397,119.285,119.249,118.145,118.505,118.783,119.924,118.536,117.326,117.269,117.977,118.562,118.344,117.977,117.803,117.266,117.846,117.82,118.744,118.136
"37","29","  Durable goods merchant wholesale industries","PK42WD3",111.305,111.135,111.041,110.761,110.179,109.94,109.589,109.336,108.914,108.515,108.294,107.981,107.386,106.847,106.456,105.86,105.401,104.794,104.419,103.644,103.349,102.916,102.604,102.208,101.826,101.693,101.396,101.082,101.001,100.966,100.97,100.751,100.698,100.665,100.825,100.807,100.814,100.611,100.514,100.377,100.218,100.071,99.97,99.436,99.466,99.285,99.083,98.803,98.002,97.515,97.25,97.159,97.147,97.014,96.732,96.311,96.2,95.583,95.352,95.162,95.013,94.972,94.974,94.87,94.858,94.943,94.684,94.5,94.612,94.702,94.38,94.23,94.226,94.088,94.281,93.906,93.929,93.856,93.834,93.907,94.114,94.307,94.525,94.653,95.035,95.61,96.18,96.402,96.564,96.479,97.021,97.689,97.678,98.094,98.169,98.276,98.298,98.253,98.117,98.102,97.621,97.221,97.13,97.376,97.722,97.359,97.711,97.923,98.181,98.43,98.596,98.839,99.498,99.566,99.18,99.214,99.485,99.025,99.535,99.657,99.628,99.793,100.289,100.261,100.082,100.185,100.222,100.165,100.015,100.292,100.453,100.512,100.896,101.346,101.903,103.164,103.963,104.616,105.513,105.533,104.397,102.694,100.805,100.255,100.1,99.612,99.263,98.937,99.081,99.356,99.574,100.277,100.489,100.722,100.961,101.459,101.985,102.122,102.579,102.921,102.789,102.217,101.871,101.941,102.396,102.787,103.287,103.773,104.209,104.717,104.81,104.984,104.925,105.251,105.5,105.447,105.776,105.611,105.595,105.891,105.869,105.883,105.842,105.681,105.627,105.318,105.032,105.115,105.262,105.071,105.536,105.627,105.442,105.453,105.478,105.316,104.843,104.796,104.826,104.909,105.027,105.373,105.825,105.785,105.913,106.019,105.775
"38","30","    Motor vehicles, parts, and supplies wholesalers","PK42113",100.353,100.212,100.363,100.043,99.602,99.793,99.095,99.146,98.719,98.204,98.016,97.751,97.991,98.22,98.288,98.169,97.918,97.808,98.415,98.206,98.202,98.508,98.836,98.662,98.478,98.636,98.424,98.637,98.885,98.831,98.75,98.84,98.9,99.502,99.209,99.226,99.18,99.089,99.284,99.232,99.818,99.55,99.578,99.366,99.727,99.13,99.727,100.011,99.984,98.886,99.336,99.722,98.963,98.829,99.673,99.568,99.919,98.011,98.078,98.534,98.057,98.471,98.085,97.893,97.605,97.741,96.883,96.549,96.974,97.406,96.733,96.411,96.688,96.949,98.457,96.518,96.513,96.003,96.241,96.341,95.824,96.746,96.416,96.053,95.994,96.072,96.447,96.198,96.492,96.659,96.053,96.207,96.756,97.671,97.487,97.819,98.128,97.475,97.349,97.574,97.981,97.696,98.539,98.491,99.122,96.545,96.699,96.898,97.115,97.562,97.734,98.072,98.001,98.071,94.64,95.607,96.18,94.035,96.899,96.649,96.184,96.103,96.041,95.995,96.067,96.387,96.915,96.759,96.152,96.353,97.05,96.786,97.181,97.299,97.013,97.605,97.487,98.222,98.417,98.901,98.736,99.762,98.991,99.301,99.162,98.978,98.909,99.302,99.44,100.834,100.111,100.892,100.509,99.856,100.639,100.807,101.387,101.545,101.462,101.457,101.837,101.45,101.83,102.107,102.326,100.761,100.824,101.031,101.392,101.667,101.977,102.58,102.792,103.582,104.118,104.132,104.185,103.568,103.798,103.893,104.028,104.016,104.414,104.863,104.988,105.581,106.385,106.251,105.943,104.982,105.313,105.515,105.255,105.29,105.086,104.872,104.624,104.677,104.588,104.405,104.511,105.51,106.023,106.115,105.961,105.895,105.663
"39","31","    Furniture and home furnishings wholesalers","PK42123",80.808,80.809,80.895,80.643,80.838,80.83,81.099,81.047,81.099,81.188,81.294,81.327,81.341,81.424,81.518,81.448,81.622,81.489,81.342,81.365,81.328,81.46,81.546,81.577,81.428,81.328,81.543,81.483,81.56,81.796,81.712,81.77,81.794,81.959,81.987,81.964,82.052,82.272,82.465,82.538,82.537,82.787,82.741,83.047,82.903,83.143,83.085,83.323,83.253,83.475,83.261,83.577,83.434,83.285,83.503,83.221,83.123,83.48,83.39,83.357,83.621,83.536,83.469,83.533,83.357,83.612,83.899,83.898,84.02,84.072,84.256,83.96,84.087,84.116,84.226,84.419,84.505,84.836,84.85,84.826,84.597,84.811,85.265,84.706,84.652,84.868,84.601,85.094,85.577,85.926,86.178,86.65,86.63,86.965,87.811,87.979,87.976,88.237,88.741,89.006,89.229,89.353,89.622,89.555,89.728,89.926,90.649,90.743,91.373,91.614,91.602,91.565,91.506,91.663,91.929,92.325,92.703,92.802,92.823,92.779,93.397,93.753,93.626,93.755,94.092,94.097,94.197,94.171,94.325,94.54,94.825,94.829,94.965,95.391,95.541,96.127,96.238,96.662,97.427,97.983,98.329,98.903,99.003,99.085,99.52,99.509,99.466,100.089,100,99.976,100.094,99.9,100.363,100.366,100.404,100.41,100.36,99.705,99.716,99.781,100.197,100.448,100.363,100.699,100.662,100.755,100.706,100.684,101.178,102.085,102.516,102.983,103.579,103.956,104.45,104.642,104.367,105.221,105.256,105.624,105.731,106.113,106.043,106.612,106.718,106.783,106.976,106.795,107.084,106.958,106.759,106.495,106.563,106.475,106.999,107.11,107.056,107.425,107.514,108.282,108.124,108.123,108.121,107.794,108.542,111.062,110.313
"40","32","    Lumber and other construction materials wholesalers","PK42133",94.817,95.455,95.311,96.068,97.206,95.602,95.947,95.404,95.456,94.634,95.113,94.555,93.48,93.162,92.838,92.696,91.901,89.917,90.853,91.287,91.049,91.035,90.831,91.408,92.126,92.721,93.408,93.283,94.554,96.028,98.46,96.945,96.176,95.205,95.895,96.274,96.44,95.775,95.44,94.812,93.567,93.144,92.366,91.532,91.502,92.363,92.323,92.27,91.243,91.067,90.954,91.132,94.402,95.44,93.356,93.313,92.94,92.163,91.912,91.395,92.084,92.152,92.602,92.37,92.365,91.642,91.788,92.415,91.972,92.412,92.605,92.715,92.4,92.432,91.731,91.618,91.9,92.428,93.613,94.017,95.986,96.163,96.939,97.528,97.644,98.856,100.839,102.882,105.504,104.716,104.711,108.185,107.855,105.588,103.652,104.226,104.454,105.836,105.67,105.338,103.329,104.754,103.955,103.409,104.198,105.466,105.691,106.583,107.872,107.653,107.137,106.845,107.048,105.13,104.306,103.538,103.463,102.5,102.296,102.71,103.118,102.545,102.207,101.989,101.192,101.632,102.439,102.234,101.427,101.819,101.542,101.919,100.278,99.587,99.493,99.983,101.303,102.16,102.507,103.713,104.205,103.73,103.6,103.453,101.452,99.884,99.363,99.121,98.188,98.207,99.786,99.595,100.339,100.99,101.446,102.026,102.306,104.462,105.726,107.123,108.31,105.798,105.014,104.084,103.805,104.432,105.21,105.622,106.17,105.901,106.124,105.647,105.332,105.566,106.121,106.704,106.222,107.181,106.572,106.18,106.371,105.864,106.251,106.727,108.47,109.232,108.422,109.565,110.043,109.601,111.327,112.292,114.204,115.529,116.984,118.389,116.285,114.721,114.594,115.941,117.16,118.793,120.135,119.847,120.488,121.296,121.503
"41","33","    Professional and commercial equipment wholesalers","PK42143",301.917,298.409,295.463,293.183,285.822,283.16,279.969,275.59,272.736,269.453,266.224,264.323,258.341,252.671,249.359,243.808,240.039,237.9,234.642,227.593,225.322,221.528,219.128,215.706,212.113,209.415,207.208,204.082,202.178,199.945,198.179,195.81,194.687,192.649,192.197,190.622,189.48,187.963,186.768,185.424,184.342,183.322,183.423,181.189,180.81,179.84,178.654,177.05,170.511,168.206,165.323,165.015,163.804,163.232,161.755,158.508,157.24,155.48,153.822,152.794,151.885,150.804,150.386,149.319,149.123,148.288,147.022,145.745,145.195,143.982,143.214,142.69,141.9,139.767,139.129,139.131,138.462,138.061,137.297,136.743,136.974,136.394,136.075,135.365,135.317,135.244,134.968,134.476,134.335,133.014,132.592,131.916,131.224,130.483,129.812,129.721,128.217,128.142,127.036,126.145,124.992,124.559,123.441,123.218,121.669,121.126,120.295,119.565,119.076,118.102,117.605,116.595,116.172,115.376,114.73,114.182,113.424,112.917,112.885,112.639,111.605,111.157,110.602,110.672,110.088,109.463,108.835,108.256,107.889,107.551,107.146,106.79,106.033,105.698,105.201,104.98,104.948,104.529,104.389,104.055,103.507,103.201,102.909,102.746,102.628,101.636,101.208,100.743,100.829,99.94,99.651,99.681,99.001,99.039,98.245,98.023,97.96,97.899,97.778,97.354,97.235,96.722,96.887,96.743,97.177,97.113,96.96,96.817,96.311,96.284,95.674,95.468,94.914,94.612,94.625,93.903,94.309,93.944,94.058,94.04,94.412,94.231,93.884,93.634,93.638,93.528,93.417,93.248,93.068,93.11,92.722,92.518,92.575,92.489,92.436,92.312,92.096,92.062,92.044,91.838,91.847,91.639,91.72,91.352,91.227,91.364,91.251
"42","34","      Computers and software wholesalers","PK42433",798.539,784.234,770.064,758.039,726.429,715.395,702.506,684.27,672.218,658.263,644.876,636.146,613.424,589.929,577.165,557.105,543.461,535.561,523.906,498.517,490.528,476.918,467.915,456.477,444.435,435.472,427.865,416.888,410.372,403.188,397.25,389.215,385.903,379.461,377.521,372.562,369.077,364.212,360.366,355.924,352.364,348.893,348.757,341.807,339.705,336.442,333.825,328.559,308.86,302.526,293.722,292.35,288.378,286.555,282.015,271.921,267.713,262.322,257.589,254.212,251.622,247.897,247.105,244.556,243.776,241.113,237.396,233.411,231.736,228.147,225.6,223.983,220.603,215.149,212.915,212.505,210.76,209.339,207.116,205.45,205.857,203.089,201.926,200,198.764,198.375,197.566,196.037,195.556,191.846,190.605,188.683,186.288,184.663,182.44,181.902,177.5,176.165,173.064,171.061,167.829,166.456,163.354,162.477,158.467,156.907,154.78,152.496,151.226,148.659,147.337,144.573,143.229,141.139,139.275,137.797,135.921,134.605,134.025,133.477,131.909,130.715,128.921,127.89,126.375,124.644,123.087,121.467,120.494,119.67,118.536,117.626,115.641,114.535,112.942,112.212,112.039,111.107,110.474,109.593,108.254,107.61,107.139,106.527,106.047,103.953,102.642,101.491,101.508,99.854,99.237,99.491,98.007,97.817,96.63,96.217,96.155,95.999,95.623,94.919,94.799,93.859,93.656,93.372,94.315,94.074,93.646,93.212,91.988,91.771,90.971,90.37,89.491,88.884,88.673,87.561,87.501,86.971,86.918,87.062,87.396,87.075,86.32,85.937,85.911,85.612,85.636,85.208,84.916,84.917,83.965,83.554,83.61,83.437,83.371,83.186,82.669,82.471,82.535,82.263,82.313,81.843,81.877,81.525,81.323,81.225,81.062
"43","35","      Other professional and commercial equipment wholesalers","PK424X3",88.136,87.896,88.034,88.339,88.277,88.193,88.061,88.046,88.08,88.128,88.144,88.332,88.074,88.337,88.317,88.149,88.088,88.094,88.052,88.085,88.049,88.073,88.262,88.145,88.102,88.126,88.248,88.449,88.548,88.505,88.604,88.823,88.723,88.714,88.888,88.861,88.794,88.805,88.812,88.886,88.948,89.048,89.231,89.266,89.642,89.725,89.301,89.481,89.403,89.167,89.211,89.392,89.513,89.59,89.65,89.736,89.925,89.977,89.861,90.003,89.974,90.21,90.029,89.756,89.848,89.937,89.946,90.112,90.152,90.199,90.335,90.359,90.861,90.498,90.662,90.838,90.737,90.849,90.859,90.888,91.015,91.546,91.677,91.643,92.224,92.338,92.368,92.461,92.505,92.515,92.548,92.582,92.836,92.635,92.839,92.965,93.159,93.788,93.886,93.687,93.851,94.013,94.152,94.346,94.395,94.486,94.471,94.716,94.75,94.825,94.874,95.006,95.193,95.256,95.441,95.541,95.563,95.62,95.972,95.952,95.317,95.391,95.697,96.541,96.62,96.796,96.836,97.014,97.092,97.131,97.311,97.395,97.599,97.862,98.242,98.435,98.525,98.556,98.855,99,99.169,99.161,99.04,99.316,99.569,99.556,99.942,100.103,100.254,100.087,100.126,99.947,100.078,100.362,99.997,99.987,99.912,99.952,100.119,100.03,99.908,99.938,100.566,100.593,100.35,100.503,100.706,100.94,101.409,101.645,101.294,101.645,101.572,101.707,102.052,101.936,103.029,102.915,103.277,103.017,103.438,103.464,103.733,103.686,103.729,103.902,103.588,103.811,103.804,103.91,104.369,104.481,104.53,104.572,104.541,104.511,104.763,104.988,104.837,104.746,104.689,104.897,105.051,104.665,104.664,105.155,105.122
