"","Table 5#7#6AU# Change in Real Private Inventories by Industry   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127"
"70","59","        Other nondurable goods","KCB5190",500,349,-41,1624,-363,-581,1141,389,1911,2168,3116,-1420,1744,706,1148,348,-817,180,343,3422,-719,670,-1132,-2106,-1931,-2687,-260,547,-1236,1152,-1678,-1807,-674,613,-319,656,-401,-135,1517,3367,-1307,-1543,4580,-1345,3300,928,-650,1863,2216,-1702,-487,-981,-1713,2427,47,-770,-237,-594,1325,2293,-457,902,803,-1934,910,-205,-288,1288,4834,-904,1461,3492,-503,2456,609,-2646,-43,387,4948,-265,2695,2091,2434,6788,1447,3330,-1924,2425,73,-248,778,-2064,-3191,5552,1191,499,580,78,-1597,2640,431,-2739,-240,5240,68,-257,3633,-2899,930,2452,1811,-523,3211,3971,-1119,3455,-3399,5153,-3356,-1449,3759,-2382,3908,499
"71","60","    Nonmerchant wholesale","KCBI5N0",4044,2108,1364,2000,-48,2524,1268,840,2204,1892,1576,868,-572,1592,392,976,420,-820,-1132,-616,-708,228,2076,-184,680,2508,160,2132,1036,1408,1556,6240,3932,-3288,956,-64,276,3548,4468,-1116,2180,236,-1936,-448,-3284,-4280,220,3408,-2580,3612,1180,2528,5840,4024,-9460,-6652,8048,-2012,-608,1980,1836,-7120,2984,-64,-4716,-1684,4792,-104,700,4744,3944,-396,-104,24,-4520,-224,-736,1400,-1260,1888,-1800,-3400,-636,2992,1524,524,300,3628,764,3488,2592,-3104,4076,1868,-1464,-132,108,-3216,1788,872,-1844,164,3688,-2832,-268,-736,40,1436,2604,-596,2276,4668,3392,4684,2572,3212,4096,-1284,992,-392,4180,2856,796,6224
"72","61","      Durable goods","KCB5ND0",1828,1040,644,784,176,564,428,316,1188,872,732,580,-372,68,200,-164,-424,-580,-604,-320,96,340,796,524,776,1856,1304,-380,648,-1288,1476,2948,1532,660,-108,-1036,-132,1500,2000,2696,-948,-632,-1144,-88,960,284,-224,1576,2864,1112,-160,-704,-268,564,-1976,-532,880,652,1928,1272,544,300,464,-2616,-1996,192,44,440,-464,1732,2040,1128,244,684,-1296,-1624,-124,-588,8,232,-412,-920,-584,1252,612,-48,544,2308,152,820,1552,-764,1196,1360,-1032,-356,-716,-1348,1704,-536,-1476,-180,1496,-2564,-588,-396,388,1828,1740,-112,1472,2536,1892,2280,1804,2484,2256,-352,1220,-664,3332,1276,20,4008
"73","62","      Nondurable goods","KCB5NN0",2352,1056,736,1396,-412,2600,1028,604,872,1044,872,84,-84,2340,172,1904,1616,0,-424,-252,-1344,-416,1504,-1456,-584,-28,-2348,3904,264,4340,-488,3432,2760,-5812,1536,1772,648,2288,2668,-6544,4816,1492,-624,-456,-6428,-6548,720,1928,-8424,3248,2008,4392,7308,3892,-8580,-7100,7964,-3056,-2992,596,1472,-9372,3052,3808,-3004,-2540,6264,-864,1724,3508,1916,-2472,-576,-1176,-4008,2580,-868,3332,-2080,2440,-1932,-3296,240,1980,1064,904,-672,780,832,3548,780,-3084,3648,100,-168,436,1452,-2088,-648,2272,140,572,2504,708,736,-308,-672,-1416,428,-660,500,1952,1320,2460,320,0,1692,-1152,-760,616,-24,1664,1084,1608
"74","63","Retail trade","KCBI5R0",1716,-3440,-4016,5620,9092,9476,-656,17100,5124,5008,13376,7408,-3396,7040,5684,-9020,26952,13460,24648,-472,7356,10976,7792,15792,13092,16912,112,16784,-4212,-2656,-7880,5408,-25504,-7880,6220,-4008,21796,11012,7860,4736,8680,8076,10636,9108,17560,9836,3316,14020,872,15572,-11836,-5088,-8296,-4788,-3520,-3732,3472,15036,12760,7264,-18584,1444,13692,-13272,8324,18372,14564,17136,40172,15112,3020,36280,5716,12440,15016,33896,28852,2544,-14864,-1620,43740,21476,-4572,31756,-9176,11960,12628,17888,33156,2740,-876,28116,-16368,15728,1288,-7740,-24132,5148,13836,7516,-4780,10972,3156,10808,42112,8896,3088,13116,17300,32476,16496,23144,24400,19400,5604,3684,-15916,17076,25164,5968,4644,22876,17276,12452
"75","64","  Durable goods","KCB5RD0",-3728,-4720,-2908,2976,5128,8400,-3124,13472,1896,-392,8536,4572,-3256,2700,2328,-12876,18016,10572,17892,-6556,3492,4028,3396,11236,7924,13340,4988,5956,352,-4148,-4956,12496,-17788,1536,8096,-4812,8024,5844,8988,4276,6600,4472,7924,6168,9716,984,-44,12220,5612,11624,-11248,-7412,-10048,-11056,-7840,-2152,-2752,11232,1920,1172,-12836,-536,12488,-13184,5304,8112,7028,9476,18352,3656,-3312,24256,4092,7644,4432,25060,18864,2468,-18672,-2276,33628,12828,-6856,22780,-14452,10524,8608,16400,22184,-7596,-6796,20296,-15492,11676,4064,-5272,-25476,2056,8600,-4572,-2356,6092,-2676,3912,24340,5960,-2752,8928,14716,12636,11148,14668,16440,11728,3032,4632,-11552,14552,15908,260,1984,11668,10928,10296
"76","65","    Automotives","KCB550",-3768,-7452,-4464,3548,4944,6712,-5344,13412,692,-1612,6384,4012,-4224,2972,2144,-16520,17980,10544,17752,-10344,-288,-148,-980,5360,6624,9280,4260,6940,-3028,-5588,-3464,12940,-16040,2780,7660,-8704,6864,1516,6020,1664,6292,4448,6284,7152,5572,-3644,-1992,13436,6848,12876,-12860,-6492,-11508,-12208,-6944,-508,-8892,11956,-460,-2380,-7664,444,11512,-14928,2508,5080,6312,6848,13932,-1560,-4412,19368,1016,6236,420,25540,12740,1792,-24536,3596,34452,3596,-8348,16836,-19352,9248,4116,14532,21812,-10240,-12124,20592,-20432,9804,6712,-1308,-21804,2144,6676,-4980,112,4660,-1620,2448,22184,3672,-7948,-1280,12104,3684,6724,9664,14296,7232,-4596,6660,-14780,13276,14632,-612,316,6244,5096,7080
"77","66","    Lumber and building materials","KCBI520",-847,1116,707,-109,-312,-366,276,-445,-441,648,401,-553,-1780,-284,866,1620,2520,1426,614,2786,1126,772,1540,2307,4378,3151,2884,-8538,6005,-2577,-3725,-3271,-2331,867,-74,1308,911,556,3276,519,1280,524,1024,1063,844,1395,-1075,395,-818,1106,675,-1163,804,-893,856,-74,1354,496,-568,-624,-3327,-191,-1632,2059,2384,781,2498,2798,2402,2277,1279,1170,-84,167,3771,704,1821,-930,3387,-3267,1055,4080,-1517,-31,2236,-1199,1560,3376,1012,167,327,378,110,1456,-1923,-1389,-2719,-1382,-474,839,959,189,1128,-1980,1485,-1398,1191,2517,2178,3372,1348,2565,263,1095,4342,240,1145,1739,-2075,1851,423,1920,2341,848
"78","67","    Furniture and furnishings","KCBI570",-158,312,142,20,300,275,100,151,198,-171,402,362,12,171,167,148,141,125,185,234,924,656,721,836,287,490,-149,220,390,218,155,-205,-1180,55,551,909,-213,307,305,301,403,-47,-212,474,752,780,803,448,705,156,820,-470,-50,482,-289,-420,917,-273,-295,267,-999,-250,567,-145,1692,400,706,142,300,1443,-354,911,895,608,152,919,524,709,111,-123,-1040,842,1022,566,924,748,1326,-528,566,497,517,407,1227,379,343,-1345,-116,1080,60,-210,40,-25,-478,1422,60,1744,1506,2258,-481,3011,1952,1863,436,1118,1336,11,769,822,1101,-1279,1110,1054,603,584
"79","68","    Other durable good","KCB59X0",686,30,92,-90,176,2479,1267,2165,1245,1320,1897,479,1834,-250,-727,273,27,-79,1515,67,541,2227,1519,3195,-2081,1951,-506,6318,-2697,2358,491,4634,1190,-1910,-31,-341,2109,3958,485,2020,-1258,177,2306,-2672,2751,1623,892,-1310,-1564,-1174,-2130,327,-292,-555,-1595,-711,2508,427,3506,3545,-1387,-366,1755,-198,-2261,2116,-2323,780,3136,706,814,3534,1514,364,1237,-1805,4977,-43,2263,-3510,2274,5386,218,6067,741,1167,1124,1287,-479,1194,3740,-323,1614,672,-1608,-603,-2654,-970,2566,-19,-3364,1580,-1163,545,1845,495,1550,4717,2304,1597,377,246,1626,2137,2278,-2245,963,-1183,1460,1556,2111,3600,3183,1188
"80","69","  Nondurable goods","KCB5RN0",6164,1852,-860,2516,3660,248,2944,2436,3224,5760,4300,2548,160,4332,3340,5448,7560,1920,5256,7212,3736,6964,4312,3740,4764,2904,-5212,10704,-4600,1804,-2656,-8188,-6628,-10020,-2604,1236,13808,4940,-1984,84,1576,3388,2108,2492,7396,9376,3628,588,-5668,3024,548,3268,3024,7912,5504,-1344,7056,2812,11528,6496,-4624,2228,-316,1676,2592,10156,7316,7116,21460,12116,7460,9800,1204,4184,11068,6140,8252,-304,7036,1064,6172,7688,3520,6632,7888,68,3200,-688,8976,12368,7404,5876,1004,2944,-3508,-2056,4532,3108,4608,13744,-2336,4540,6696,7016,16164,2376,6836,3260,560,20112,4156,7056,6180,6652,2380,-1828,-3012,512,7796,6296,3124,10664,6280,1244
"81","70","    Food stores","KCB540",1776,464,532,400,520,100,600,64,1616,-64,856,-560,-492,1148,280,1844,1780,1080,1152,936,228,216,1388,-904,-1788,940,-512,1620,1492,324,-1448,1176,-1376,-2168,808,-776,2776,1400,1100,1412,-880,1012,-352,704,92,732,572,-576,588,-712,3452,1604,648,3004,-1428,1304,4676,-484,3828,760,184,-1048,-960,2808,-276,1740,4708,-1588,160,3580,-56,3924,1740,3120,3052,3236,1932,-676,1564,-828,1680,72,-1696,24,4212,640,1088,1276,928,2056,2504,2888,440,2208,1152,600,2132,880,-1084,776,-1936,792,428,1016,880,-340,1376,484,1944,488,1328,396,84,340,1940,720,-684,-392,1584,1664,1212,916,2016,-952
"82","71","    Apparel stores","KCBI560",150,-361,-99,311,-184,-97,1489,-280,1795,1089,300,597,-1194,90,-704,326,744,608,422,1296,769,773,1306,-154,920,1168,-741,2476,-866,-673,-74,-308,-488,-525,-408,-234,1993,954,134,-1608,1753,1940,603,2823,776,3615,2672,221,-666,602,-1753,944,-1258,193,1551,-514,-490,1157,1752,2077,-191,124,-152,-1132,-1403,2149,1796,2090,5126,971,-907,74,-1047,-34,2370,2968,-59,-184,-1007,830,2924,-200,-295,-1218,-130,251,1796,-285,3095,1561,361,-1040,353,1156,-1583,-1227,-205,506,190,864,707,428,1789,3507,881,501,863,-1499,-1235,2825,1252,886,1460,-449,-1076,-2522,-471,-2568,132,2650,-1577,2949,1406,1203
"83","72","    Department stores","KCB5310",1279,663,1218,170,1042,-23,-1124,2432,-365,1271,592,513,865,1021,2585,1164,1632,412,1328,1903,1170,2266,-395,1618,1795,-879,-1433,3269,1368,1854,-747,-5383,-3198,-889,2059,1199,4157,1519,-1086,1617,-398,-74,-474,-353,2247,2759,-610,-968,401,1055,1009,2263,3064,3649,3449,2561,2068,4077,4716,960,-795,140,213,1066,1949,3959,1226,1509,9375,6425,4842,2424,-2596,-2060,1236,1930,760,835,1319,316,636,3264,3393,736,4197,-1325,189,1955,2699,6959,2552,3370,418,-2156,-478,272,1084,994,2868,5918,258,3429,3717,1798,10280,927,1374,760,-2345,11572,846,2500,2579,4489,1416,2993,1393,1825,3612,373,-2379,2868,-1480,1943
"84","73","    Other general merchandise","KCB53X0",-306,-892,-254,-265,742,612,658,112,368,1105,402,1240,-469,-168,828,540,1404,1091,943,1886,864,403,758,718,1838,194,-1475,3839,-1597,218,-1680,-3707,-1882,-2299,-1515,57,1395,431,-1170,-54,-517,1636,669,-357,283,275,1665,514,27,917,-176,120,760,-1184,-342,-2030,975,-149,179,-271,-877,1358,-57,415,660,466,431,606,1740,1071,1593,1851,-963,1808,1179,137,461,-714,907,-360,1245,200,-664,2937,-460,-66,-1210,-2364,373,-359,540,491,-1479,-502,1258,-1610,828,720,250,1145,-1230,2015,2358,1416,2113,-595,760,725,-691,1941,-1127,1399,2494,-959,-1686,80,-1617,-123,443,-1219,-875,725,135,-194
"85","74","    Other nondurable goods","KCB5Y0",4344,2772,-3312,2580,1768,-528,1868,-640,-368,2392,2780,444,2044,2960,-256,1936,2132,-2032,1468,556,328,3700,1616,2896,2088,1996,-1112,-1764,-7200,-128,1868,1316,1072,-5316,-4932,1060,3680,504,-1040,-1644,1848,-1604,2112,-736,4644,1676,-1036,1884,-7676,1276,-2124,-2172,-432,2528,1948,-3236,112,-2660,1024,3252,-3304,1792,596,-1384,1760,1704,-628,4724,4460,-344,1740,2008,5364,2324,3856,-2488,6200,280,5216,1072,-528,4780,2640,4992,168,916,1488,-1564,1688,1848,1692,312,1412,2996,-4028,-4,1028,4,2280,5228,-572,-2624,-2224,-1164,1392,1916,2784,3320,3968,2344,2080,1864,-852,3296,2260,-3452,-2048,1984,2188,3120,3004,3700,4292,2660
"86","75","Other","KCBIAO0",3032,5672,8712,7024,3192,20,3016,348,2916,4916,3672,816,-464,-1096,460,3900,2816,4248,-940,3068,3572,4668,2088,2660,3088,1540,3996,5540,13120,-1780,496,7048,-4416,1892,3688,7072,4916,4536,-4972,-1128,11716,-412,12808,-44,6532,4820,10148,-856,2536,880,-1412,-2268,-12508,5164,-3716,4980,7624,-3504,19656,16544,3492,1672,-5984,-11508,9260,-1908,-7096,-4816,-24,-2092,1992,5832,5928,4496,7172,4512,7036,10948,2788,-5608,2712,1792,-492,6832,-2168,-1988,-2164,-280,-3828,-9780,8,-5692,2400,980,-4596,-14572,2940,9100,444,3364,7296,32,-104,5216,-3092,10096,1700,6276,4628,7252,-816,10220,4344,-1128,120,7520,-228,1684,3544,2736,9732,9212,7720,5148
"87","76","  Durable goods","KCBAOD0",-614,921,1256,1057,-1176,-1742,-1212,-1143,-2006,-86,2486,-450,-194,-878,-872,917,212,-629,-2266,-1448,1903,508,-598,249,3389,-1114,2625,1323,1096,-2095,1270,42,-2196,-1021,1614,292,1410,-270,-2061,236,253,2752,-131,-1653,2318,2454,1314,-1346,1516,855,-78,-2457,-676,-4185,72,3200,1846,-339,520,-859,2188,1167,-83,1653,820,-728,490,-4745,4320,555,-1835,-2387,261,-1775,-1539,711,-955,-1285,-1883,-231,-273,655,502,532,-669,-1444,-1316,1724,395,272,366,1785,2023,19,-637,-1635,-3703,-918,2718,-107,3313,578,-2010,844,-2929,1180,466,2736,2235,99,750,17,827,-1048,-81,527,2377,-1985,1034,489,1109,1388,1555,925
"88","77","  Nondurable goods","KCBAON0",3760,4804,7544,6032,4564,1972,4484,1688,5364,5140,924,1292,-260,-184,1380,3028,2632,5008,1512,4756,1524,4216,2812,2444,-712,2904,1100,4212,12228,384,-796,7112,-2288,2956,2120,6900,3552,4896,-2936,-1392,11644,-3196,13148,1648,4236,2328,8968,548,1040,68,-1312,96,-12000,8844,-3808,2260,6132,-3212,19248,17224,1764,756,-5908,-12748,8584,-1344,-7512,-980,-3552,-2544,3476,7796,5716,5988,8492,3916,7864,12144,4520,-5456,2980,1200,-952,6392,-1552,-620,-912,-1952,-4256,-10136,-340,-7424,548,984,-4032,-13184,6312,10044,-2084,3504,4228,-508,1796,4476,-272,9068,1288,3644,2424,7240,-1604,10344,3548,-60,204,7088,-2616,3700,2556,2288,8516,7892,6220,4396
"89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","Note. Chained (2009) dollar series for change in real private invertories are calculated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","as the period-to-period change in chained-dollar end-of-period inventories.  Quarterly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","changes in end-of-period inventories are stated at annual rates.  Because the formula for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","the chain-type quantity indexes uses weights of more than one period, the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","chained-dollar estimates are usually not additive.  Estimates in this table are based on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","the Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
