"","Table 4#2#4# Price Indexes for Exports and Imports of Goods and ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172"
"22","14","    Nondurable goods","B691RG3",36.458,35.755,37.954,41.545,38.294,37.708,38.62,37.017,36.614,37.446,37.055,38.12,37.734,40.18,37.98,41.951,38.626,38.79,40.327,45.585,43.073,45.497,46.476,46.754,51.443,52.95,48.453,51.207,54.592,54.532,57.739,55.839,58.025,59.547,58.412,56.223,60.606,61.082,61.387,63.384,67.494,69.438,69.046,69.538,64.563,62.877,69.748,69.608,68.495,66.962,68.276,70.212,71.116,67.437,67.947,66.887,66.271,68.191,69.443,69.533,70.597,70.775,71.388,71.277,71.192,71.321,71.582,71.265,72.074,73.365,73.459,74.906,75.398,76.272,76.891,77.089,79.029,79.207,79.499,80.849,82.041,82.279,82.764,82.737,83.998,84.76,85.64,86.895,87.953,89.326,88.804,89.484,90.707,91.943,92.218,92.623,93.528,93.933,93.888,94.103,94.102,94.055,93.954,94.256,95.036,96.142,96.112,96.256,97.004,97.253,97.389,97.561,97.66,97.412,97.991,98.121,98.292,98.14,97.99,97.968,98.012,97.946,97.869,98.375,98.376,98.04,98.135,97.99,97.396,97.105,97.287,97.374,96.255,96.363,96.731,96.81,97.058,97.019,97.269,97.673,98.283,98.442,99.373,99.101,100.036,100.082,99.779,100.103,100.827,101.455,102.179,102.316,103.742,104.883,105.699,106.577,107.22,108.779,108.255,106.463,107.011,106.43,107.551,108.251,110.257,110.627,110.928,112.641,111.916
"23","15","  Other","B643RG3",22.676,22.972,23.172,23.91,24.146,24.576,24.558,24.705,25.348,25.262,25.195,25.252,25.709,25.945,26.048,26.846,28.022,29.436,31.162,33.422,35.65,36.828,38.922,40.928,43.165,41.994,42.117,42.84,43.453,43.99,44.265,45.285,45.897,46.457,46.339,46.333,47.245,48.983,49.653,51.084,52.66,55.558,57.314,58.189,59.786,61.063,63.555,65.417,67.484,66.902,67.524,68.181,68.815,68.733,68.199,67.631,67.864,68.627,69.682,70.952,71.652,72.462,71.932,70.875,70.522,70.278,69.74,69.852,69.27,69.508,68.158,69.458,70.243,71.984,71.969,74.333,75.052,77.527,79.447,79.079,80.136,80.35,80.137,80.256,80.677,81.237,82.054,83.2,83.412,83.426,82.851,83.092,83.098,83.71,83.947,83.945,84.435,84.908,85.404,85.328,86.466,87.168,87.974,88.965,90.901,92.199,92.374,92.227,92.196,92.445,91.748,90.688,90.939,90.972,90.889,90.465,89.556,89.066,88.375,87.964,87.843,87.928,88.308,88.851,89.395,90.045,90.123,90.335,90.34,90.001,89.6,88.786,88.611,89.185,90.163,90.485,91.435,91.756,91.875,92.997,94.44,95.87,96.337,97.555,98.856,99.683,100.254,101.207,101.962,103.45,104.977,105.296,106.256,107.873,108.715,110.616,113.291,117.218,119.067,109.623,105.563,106.341,107.742,109.075,110.798,112.307,112.547,115.982,119.956
"24","16","Exports of services \1\","B646RG3",23.25,23.581,23.89,24.112,23.623,23.971,24.383,24.677,25.309,25.627,25.951,26.115,27.944,28.231,28.503,28.763,28.57,29.292,30.133,30.729,32.061,32.72,33.56,34.1,34.533,35.097,35.638,36.068,36.807,37.206,37.651,38.208,38.597,39.305,39.836,40.577,41.291,42.099,42.899,43.495,43.89,45.034,46.28,47.792,49.552,50.853,51.966,53.152,54.474,55.46,56.312,57.136,57.876,58.917,59.804,60.333,61.192,61.422,61.8,61.798,61.292,61.925,62.421,63.287,63.43,63.704,63.889,64.689,65.335,65.7,66.289,66.703,67.021,67.382,67.831,68.115,68.473,68.833,69.039,69.403,70.105,70.669,70.919,71.438,72.596,73.083,74.835,77.142,77.789,77.598,78.292,78.846,79.308,79.87,80.589,80.751,80.809,81.17,81.193,81.394,81.506,81.856,82.457,82.738,83.159,84.035,84.094,84.2,85.093,85.049,85.608,86.213,85.945,86.38,86.369,86.644,86.168,86.298,86.246,86.428,86.639,87.278,87.546,87.792,89.014,89.704,90.423,90.538,90.594,90.235,90.037,89.301,89.226,90.145,90.602,90.834,91.907,92.015,92.96,93.25,94.212,95.039,95.911,97.231,98.432,99.274,100.674,101.62,102.485,103.606,104.596,104.186,105.499,106.598,107.567,108.921,110.456,111.756,113.501,110.86,108.981,108.105,109.164,110.437,111.451,112.48,112.435,112.93,114.742
"25","17","  Transfers under U.S. military agency sales contracts","B267RG3",33.363,33.912,34.304,34.542,31.66,32.09,33.115,33.446,34.119,34.879,36.061,36.474,45.497,46.22,46.705,47.044,47.009,47.723,49.22,48.853,49.942,50.322,51.401,51.198,51.976,53.406,54.879,55.336,56.825,57.654,58.503,59.375,60.924,61.446,61.518,62.713,64.184,65.14,65.995,66.162,67.26,68.427,70.088,72.099,72.746,75.25,76.194,78.009,79.361,81.58,83.079,84.069,85.95,88.605,89.605,89.445,89.563,90.046,92.065,91.446,91.644,92.336,92.319,96.169,93.518,91.395,91.476,90.195,87.807,87.008,85.981,83.098,83.876,82.429,80.28,79.993,80.287,79.935,79.089,79.458,80.308,80.445,81.21,80.286,81.83,82.053,84.017,85.455,85.519,85.981,86.381,86.938,86.769,87.483,87.681,88.613,89.064,89.938,90.986,91.412,91.488,94.929,94.701,95.56,95.422,96.466,96.454,98.102,101.397,95.515,95.468,95.76,95.725,95.415,93.858,94.226,93.544,93.684,93.097,91.488,96.937,96.958,96.756,97.086,96.488,95.987,95.708,95.425,94.675,94.554,94.35,92.786,93.327,93.62,94.224,94.779,94.795,95.073,95.322,95.158,95.36,96.211,96.728,97.994,98.882,99.425,100.385,101.308,101.926,102.886,103.797,103.604,104.253,104.846,105.306,105.492,106.193,107.116,108.172,108.234,108.157,108.236,108.461,108.764,109.264,109.602,109.912,109.907,110.48
"26","18","  Travel","B493RG3",19.686,20.013,20.34,20.585,20.912,21.238,21.402,21.729,21.892,22.137,22.3,22.464,22.627,22.791,23.117,23.362,23.607,24.016,24.424,24.833,25.323,25.976,26.63,27.283,27.773,28.1,28.509,28.999,29.734,30.142,30.632,31.123,31.613,32.266,32.756,33.328,34.145,34.88,35.779,36.514,37.167,38.148,39.128,40.516,41.905,42.967,44.029,45.091,46.316,47.46,48.848,49.584,50.482,51.462,52.443,52.851,53.178,53.75,54.403,55.22,55.955,56.772,57.344,57.671,58.242,59.141,59.958,60.693,60.285,60.775,61.428,62.245,63.225,63.879,64.532,64.614,65.839,66.411,66.493,66.656,67.31,68.045,68.617,69.107,70.087,70.822,72.701,74.008,76.132,76.05,76.458,76.785,77.602,77.684,78.092,78.174,78.256,78.501,78.419,78.827,78.827,78.991,78.746,78.827,78.909,79.889,80.053,80.298,81.033,81.523,82.013,82.258,82.749,83.403,83.73,84.384,84.005,84.244,84.601,85.244,85.223,86.414,87.331,88.115,89.672,90.521,91.307,92.014,91.977,92.088,91.125,89.771,89.888,90.599,90.598,91.322,92.113,91.457,92.677,93.392,94.163,95.196,96.002,97.409,98.145,98.711,100.903,102.33,103.173,104.675,105.578,104.037,105.424,107.654,108.865,110.269,112.055,113.937,116.213,109.986,107.26,107.093,109.07,110.122,110.685,111.874,112.578,113.113,115.587
"27","19","  Passenger fares","B533RG3",22.566,22.705,22.845,22.891,22.83,22.877,22.877,22.877,24.136,24.879,25.065,25.993,26.123,26.262,26.402,26.587,26.55,26.503,26.55,26.921,27.826,29.217,31.304,33.159,33.686,33.871,33.918,33.454,35.232,35.48,35.777,36.77,34.914,36.704,37.162,37.667,37.597,36.622,36.483,36.112,35.777,35.73,35.73,36.194,37.955,39.857,41.295,42.223,43.303,43.953,44.649,45.345,45.938,46.402,46.402,46.866,46.399,46.399,46.399,46.399,45.964,45.5,44.989,44.525,43.62,43.388,43.388,43.852,44.676,44.768,45.23,46.153,46.575,47.68,48.57,49.528,50.358,51.18,50.912,52.117,52.392,52.475,52.268,52.306,53.117,54.211,56.65,59.703,61.493,61.469,61.473,62.143,62.469,63.25,64.853,63.143,63.228,64.696,65.412,65.049,65.448,65.316,66.451,67.56,68.919,71.416,69.857,69.336,69.49,68.64,70.062,71.299,65.096,67.424,68.05,65.697,65.19,64.989,64.257,67.333,69.382,69.766,70.571,72.39,71.938,72.766,72.568,72.429,73.738,72.562,72.841,72.902,72.407,74.256,78.054,76.299,79.458,83.026,85.665,88.057,91.287,90.697,92.236,96.886,100.619,100.737,101.693,97.088,97.498,100.191,101.708,102.416,104.106,110.067,109.07,113.641,116.569,121.239,127.22,119.1,112.364,103.051,102.182,106.391,116.367,127.141,127.244,121.744,126.969
"28","20","  Other transportation","B683RG3",25.45,25.76,26.034,26.29,26.083,26.635,27.169,27.674,29.16,28.971,28.786,28.563,27.149,27.647,28.079,28.472,26.969,28.594,30.216,31.841,35.283,35.686,36.063,36.402,36.295,36.916,37.548,38.21,39.204,39.633,40.06,40.452,40.086,40.984,41.852,42.728,43.224,44.274,45.276,46.262,45.533,47.626,49.707,51.786,55.435,56.52,57.608,58.697,60.868,61.211,61.543,61.859,61.166,62.254,63.239,64.158,68.476,67.173,65.853,64.367,59.144,59.946,60.721,61.485,61.027,62.346,63.531,64.646,68.089,67.626,67.228,66.803,65.6,66.529,67.255,67.147,66.173,66.166,66.373,66.747,68.525,69.539,69.734,70.881,72.914,70.704,73.544,81.251,77.7,74.566,75.968,76.289,74.665,75.868,77.269,78.116,77.4,78.158,77.532,77.358,76.448,76.492,78.302,77.796,78.315,79.461,78.708,78.119,79.768,80.519,80.881,82.082,81.858,80.955,80.34,80.956,78.423,78.562,78.393,77.591,75.807,78.344,80.187,81.005,83.531,85.696,88.623,89.968,87.275,86.118,86.408,84.31,82.856,84.67,85.606,86.469,88.524,86.645,87.901,88.027,89.093,89.726,91.298,94.054,94.92,98.091,101.395,105.594,104.492,106.076,106.593,104.387,105.103,105.425,106.337,108.602,111.306,114.569,118.559,116.041,110.682,107.958,108.335,109.597,111.011,112.341,113.108,114.339,117.041
"29","21","  Royalties and license fees","B684RG3",19.899,20.136,20.412,20.65,20.938,21.265,21.441,21.687,22.093,22.442,22.721,22.966,23.187,23.375,23.597,23.922,24.317,24.776,25.217,25.705,26.357,27.047,27.916,28.599,29.205,29.667,30.222,30.77,31.211,31.587,32.083,32.683,33.332,33.974,34.537,35.198,35.751,36.619,37.319,38.099,38.9,39.837,40.911,41.906,43.083,44.056,45.088,46.298,47.534,48.449,49.257,50.283,50.94,51.356,51.983,52.576,53.028,53.706,54.339,54.726,55.468,56.078,56.533,57.002,57.525,58.047,58.476,59.11,59.473,59.67,60.219,60.679,61.32,61.864,62.427,62.994,63.483,64.202,64.919,65.616,66.413,67.238,67.752,68.364,69.309,70.036,70.912,71.941,72.542,72.945,73.46,73.994,74.602,75.157,75.582,76.053,76.64,77.078,77.349,77.771,78.223,78.653,79.24,79.647,80.219,80.7,81.076,81.482,82.031,82.37,82.858,83.347,83.819,84.009,84.216,84.489,84.531,84.671,84.903,85.151,85.458,85.904,86.302,86.773,87.576,88.056,88.536,89.008,89.578,90.096,90.326,90.442,90.697,91.253,91.635,92.131,93.077,93.208,93.724,94.168,95.154,96.13,96.783,97.652,98.548,99.301,100.574,101.556,102.271,103.177,103.918,104.066,105.185,106.009,106.543,107.534,108.583,109.784,110.882,109.611,109.106,109.271,109.647,110.173,110.651,110.668,110.837,111.367,112.426
"30","22","  Other private services","B720RG3",27.048,27.406,27.796,28.122,28.534,28.963,29.19,29.535,30.075,30.56,30.951,31.302,31.602,31.788,32.03,32.349,32.712,33.167,33.588,34.039,34.651,35.371,36.295,37.025,37.683,38.129,38.703,39.285,39.763,40.293,40.803,41.416,42.072,42.782,43.28,44.001,44.494,45.383,46.079,46.168,46.549,47.39,48.38,50.171,51.39,52.571,53.828,54.946,55.872,56.781,57.214,58.403,59.354,60.217,61.413,62.288,62.983,63.824,64.589,65.186,65.997,66.663,67.123,67.884,68.688,69.455,70.069,70.793,70.857,71.453,72.442,73.255,74.193,74.935,75.383,75.578,75.62,75.833,76.17,76.592,76.795,77.304,77.727,78.461,79.473,80.278,81.325,82.459,83.291,83.881,84.554,85.192,85.717,86.221,86.746,87.421,88.053,88.212,88.298,88.674,88.947,89.281,89.776,90.13,90.595,91.088,91.917,91.994,92.701,93.063,93.361,93.836,94.207,94.4,94.304,94.605,94.536,94.478,94.233,93.822,93.375,93.24,92.338,91.585,92.759,93.018,93.627,92.814,93.201,92.501,92.581,92.22,92.174,92.779,92.737,92.633,93.433,93.896,94.683,94.586,95.398,96.328,97.015,97.698,99.051,99.557,100.349,101.042,102.634,103.324,104.572,104.483,106.152,106.432,107.618,108.67,110.006,110.149,111.247,109.861,108.882,108.4,109.847,111.088,111.354,111.787,111.463,112.606,114.059
"31","23","  Other","B980RG3",23.662,24.095,24.618,24.926,25.008,25.223,25.446,25.53,25.916,26.149,26.264,26.47,27.036,27.159,27.161,27.098,26.929,27.439,28.046,28.928,30.354,31.481,32.709,33.451,33.956,34.086,34.075,33.928,33.829,33.637,33.484,33.863,34.152,34.685,35.378,36.059,36.969,37.972,38.94,39.973,40.87,42.003,43.191,44.465,46.091,47.528,48.866,50.085,50.997,51.875,52.736,53.714,55.427,56.167,56.755,56.824,55.607,55.511,55.293,55.159,55.632,56.118,57.153,58.51,59.836,57.928,54.364,56.455,58.216,60.238,62.496,64.452,62.922,61.276,62.69,63.896,64.557,64.946,66.159,65.129,65.41,64.836,62.636,62.626,63.27,66.212,66.844,67.106,67.872,68.628,70.955,72.33,75.554,76.545,77.36,76.52,74.289,72.709,71.598,71.065,71.779,71.697,74.032,74.328,74.43,73.685,73.404,73.218,73.9,73.342,75.048,76.395,78.067,79.036,78.917,81.387,81.403,82.647,82.982,82.436,82.992,83.333,84.208,84.077,86.858,88.019,87.384,88.139,88.852,88.986,87.383,86.5,87.805,90.956,92.126,93.228,93.888,94.204,94.469,93.806,94.735,95.338,97.008,97.947,99.265,100.447,100.055,100.233,100.053,101.712,101.532,104.136,102.275,104.374,106.739,107.9,109.503,113.92,112.978,114.506,111.615,112.384,111.631,115.119,118.642,118.434,113.894,112.466,113.665
"32","24","    Imports of goods and services","B021RG3",21.959,22.055,22.215,22.787,23.028,23.291,23.861,24.101,24.708,24.793,25.097,25.471,25.903,26.574,27.002,27.6,28.412,30.649,32.109,34.523,39.999,44.584,46.872,48.371,49.133,49.261,48.164,48.238,49.026,49.777,50.67,51.189,52.984,54.451,55.172,55.735,56.669,58.042,59.008,60.043,62.387,65.63,70.525,75.194,81.465,84.418,86.785,88.294,90.557,91.101,88.723,88.909,88.645,87.089,86.051,85.39,83.595,83.595,83.754,83.22,83.469,83.933,82.443,81.435,79.487,79.832,79.762,81.318,81.469,78.946,79.493,80.48,82.558,84.722,85.588,86.922,88.153,89.719,88.726,89.446,90.876,91.875,90.303,90.772,92.175,90.55,93.178,98.351,95.341,92.715,91.324,91.75,92.184,92.547,93.724,92.969,92.405,92.726,91.905,91.54,91.495,92.36,93.912,94.269,95.05,96.416,95.812,94.95,94.747,94.254,93.301,93.261,92.549,90.622,90.025,89.313,87.108,86.047,84.938,84.899,84.67,85.682,86.715,87.931,89.542,89.522,90.154,90.633,90.225,88.51,87.127,85.185,85.013,86.843,87.367,87.914,90.41,89.114,89.546,90.114,92.123,93.415,94.385,96.654,97.47,98.831,100.863,102.836,103.243,104.322,105.121,103.889,104.892,105.936,106.671,112.623,117.728,122.345,122.999,111.669,103.127,103.719,105.879,111.222,114.514,112.234,109.892,114.699,120.528
"33","25","Imports of goods \1\","B255RG3",22.345,22.432,22.56,23.322,23.59,23.827,24.56,24.842,25.284,25.219,25.492,25.786,26.432,27.239,27.664,28.245,29.108,31.461,32.896,35.694,42.296,47.917,50.694,52.369,53.246,53.193,51.577,51.451,52.451,53.406,54.36,54.849,56.964,58.642,59.352,59.811,60.847,62.311,63.099,64.17,66.882,70.574,76.234,81.609,88.788,92.306,94.859,96.667,99.511,100.104,96.901,96.849,96.414,94.64,93.616,92.806,90.488,90.51,90.691,90.008,90.248,90.86,89.511,88.589,86.265,86.239,85.557,87.011,86.418,82.945,83.4,84.581,87.579,90.187,91.037,92.598,93.67,95.492,94.308,95.146,97.243,98.596,96.525,96.847,98.141,95.681,98.4,104.138,100.174,97.365,95.465,95.862,96.192,96.471,97.359,96.716,96.042,96.234,95.349,94.793,94.704,95.739,97.24,97.521,98.714,99.806,98.989,97.963,97.602,96.886,95.583,95.376,94.619,92.259,91.712,90.936,88.652,87.201,85.825,85.527,85.268,86.223,87.297,88.71,90.581,90.662,91.339,91.929,91.377,89.407,87.674,85.47,85.198,87.065,87.394,88.065,90.696,88.591,88.975,89.64,91.821,93.148,94.04,96.477,97.293,98.672,100.837,103.198,103.394,104.419,105.238,103.779,104.833,105.747,106.301,113.076,118.848,123.676,124.208,111.679,101.9,102.403,104.68,110.65,114.497,111.653,108.977,114.399,121.139
"34","26","  Foods, feeds, and beverages","B647RG3",25.833,25.996,26.076,27.258,28.118,28.899,29.288,29.283,29.122,28.883,28.881,29.038,29.352,30.622,31.585,32.633,33.93,36.866,39.212,42.148,42.427,45.466,49.364,53.337,53.483,51.924,46.067,45.128,48.039,50.818,53.365,54.633,60.399,67.211,63.609,61.786,64.347,64.051,63.18,63.486,67.016,67.951,71.496,76.631,80.693,82.677,85.536,86.02,85.864,83.18,78.899,73.822,75.475,74.283,73.003,74.515,72.614,73.518,74.362,74.528,75.182,76.953,76.741,73.842,72.75,71.62,69.747,75.635,80.27,76.867,80.005,78.655,75.897,77.72,78.663,81.296,82.154,82.033,81.499,82.425,83.202,81.937,78.271,77.024,82.028,80.723,81.754,82.819,84.71,85.629,84.898,84.946,87.802,84.08,83.492,84.121,82.603,83.622,85.593,86.878,86.869,89.435,94.819,96.775,97.464,96.033,96.499,94.774,92.869,95.98,93.598,94.177,94.641,96.126,95.065,94.168,92.781,92.719,91.039,91.404,89.713,89.444,88.084,88.585,88.671,88.184,87.569,86.768,86.823,85.115,84.219,84.495,84.215,85.482,86.592,88.432,89.569,89.536,89.933,90.454,92.3,94.311,94.522,97.148,98.621,100.242,99.653,101.485,102.318,102.409,104.285,106.042,108.04,110.147,112.782,115.748,119.311,124.815,127.47,121.657,118.855,119.187,118.847,121.299,125.014,128.725,130.572,137.794,145.794
"35","27","  Industrial supplies and materials, except petroleum and products","B649RG3",19.84,19.841,19.829,20.405,20.529,20.658,20.981,20.845,20.903,20.91,21.197,21.52,21.906,22.537,22.942,23.252,24.287,26.153,27.657,30.049,33.472,38.274,41.356,43.2,43.239,41.723,39.48,37.418,38.485,39.888,40.703,41.558,42.999,43.744,44.008,44.498,45.494,46.481,47.545,48.679,51.626,54.353,56.737,61.574,65.984,67.452,68.238,68.595,68.965,69.024,68.112,67.581,68.118,66.72,64.753,63.638,62.921,62.675,62.789,61.133,62.069,62.583,61.422,60.6,58.407,58.238,58.039,57.304,57.795,57.921,58.47,58.149,59.28,61.123,62.95,64.872,67.694,71.319,71.881,73.901,75.664,75.814,74.457,73.517,72.914,73.026,73.225,73.512,73.987,72.717,71.141,70.685,71.212,71.293,71.656,71.746,71.339,71.241,70.452,70.619,71.261,71.854,73.281,75.756,77.893,79.333,80.351,80.311,79.283,78.303,77.686,78.101,79.078,77.732,78.188,78.027,76.017,75.138,73.684,72.729,72.563,72.932,74.657,75.798,77.575,79.87,82.205,84.763,87.235,82.708,77.367,73.715,72.858,75.258,75.642,76.727,81.819,80.566,81.138,81.965,86.459,90.215,92.002,94.354,96.358,97.596,99,107.045,103.782,103.815,106.043,106.53,108.231,111.044,110.179,114.267,122.216,133.468,136.538,121.309,106.638,101.193,101.763,108.628,115.671,116.2,114.718,118.734,126.319
