"","Table 5#2#3# Real Gross and Net Domestic Investment by Major Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"22","15","      Equals: Net structures","A594RA3",150.719,148.011,140.649,145.342,158.629,149.302,117.631,120.811,128.247,162.246,195.448,209.478,231.196,217.915,171.686,213.49,234.778,184.855,170.57,169.164,172.66,174.226,129.669,107.687,103.839,107.427,125.046,140.855,162.889,177.998,174.467,201.119,189.948,112.032,96.78,98.02,100,127.189,173.537,191.996,94.944
"23","16","      Equipment and software","B010RA3",11.598,11.482,11.596,13.092,15.494,15.89,14.377,15.276,17.577,20.253,22.022,21.23,22.133,20.982,22.111,26.497,28.18,28.714,29.107,31.302,33.596,33.607,32.743,35.129,39.515,44.227,49.519,54.782,62.315,71.358,81.451,89.976,87.073,83.397,85.516,92.141,100,107.434,111.389,108.681,92.035
"24","17","      Less: Consumption of fixed capital","B189RA3",12.283,13.03,13.702,14.546,15.67,16.832,17.669,18.432,19.475,20.752,22.263,23.597,24.695,25.923,26.84,28.112,30.028,31.679,33.414,35.057,36.87,38.619,39.959,41.301,43.259,45.867,49.124,53.043,57.822,63.847,70.874,78.396,84.47,88.517,91.78,95.49,100,104.906,110.246,114.522,116.211
"25","18","      Equals: Net equipment and software","A747RA3",8.756,5.063,2.861,7.06,14.763,11.979,0.72,2.179,9.701,18.182,21.022,11.409,11.499,0.479,2.491,19.794,20.51,16.411,11.237,15.723,20.012,12.808,2.799,9.523,23.978,37.422,51.16,61.998,80.96,102.522,125.336,138.027,97.873,62.153,59.524,78.244,100,117.926,116.133,84.444,-8.274
"26","19","    Residential","A011RA3",34.066,32.028,40.811,48.064,47.756,37.897,32.977,40.743,49.49,52.606,50.676,39.952,36.749,30.077,42.527,48.839,49.612,55.699,56.811,56.235,54.528,49.823,45.035,51.267,55.454,60.845,58.854,63.554,64.756,69.737,74.098,74.839,75.263,79.21,85.724,94.136,100,92.679,75.38,57.324,44.22
"27","20","    Less: Consumption of fixed capital","A754RA3",34.27,35.529,36.94,38.699,40.594,42.222,43.445,44.661,46.206,48.013,49.869,51.45,52.702,53.679,54.749,56.253,57.949,59.826,61.854,63.852,65.728,67.382,68.752,70.073,71.651,73.484,75.428,77.456,79.563,81.778,84.167,86.626,89.052,91.541,94.232,97.123,100,102.861,105.383,107.037,107.942
"28","21","    Equals: Net residential","A748RA3",33.974,30.461,42.545,52.258,50.962,35.961,28.29,38.989,50.96,54.663,51.037,34.804,29.606,19.509,37.055,45.519,45.878,53.852,54.553,52.825,49.513,41.96,34.415,42.846,48.201,55.185,51.432,57.329,58.125,64.345,69.589,69.561,69.088,73.688,81.914,92.799,100,88.119,61.946,35.064,15.687
"29","22","  Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","23","Gross government investment \1\","A782RA3",44.49,41.414,37.003,34.548,35.557,37.282,37.976,38.533,37.398,40.289,42.782,44.019,42.682,42.171,45.416,51.026,58.02,63.323,66.923,66.545,69.19,73.678,74.012,74.668,71.933,70.705,72.411,75.147,77.22,79.919,85.847,88.638,92.477,97.561,99.904,100.792,100,103.268,104.985,109.528,109.766
"31","24","Less: Consumption of fixed capital","A264RA3",38.678,39.165,39.056,38.724,38.61,38.863,39.429,40.156,40.861,41.602,42.547,43.753,45.03,46.424,48.142,50.446,53.391,56.657,59.893,62.842,65.758,68.809,71.574,73.892,75.724,77.025,78.163,79.497,80.972,82.862,85.313,87.804,89.972,92.173,94.5,97.346,100,102.742,105.913,109.454,113.019
"32","25","Equals: Net government investment","A889RA3",54.786,45.398,33.367,27.15,30.15,34.481,35.403,35.657,31.263,37.962,43.199,44.489,38.524,34.638,40.586,52.053,66.22,75.131,79.375,73.105,75.27,82.304,78.331,76.042,65.217,59.511,62.223,67.441,70.574,74.708,86.794,90.116,96.915,107.105,109.476,106.897,100,104.198,103.341,109.661,104.003
"33","26","          Federal","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","27","            National defense","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","28","            Nondefense","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","29","          State and local","B893RA3",72.314,64.201,60.038,55.624,54.813,54.234,52.056,49.224,42.675,49.337,52.732,51.9,42.331,35.742,35.728,44.738,53.259,58.385,59.152,62.94,66.936,74.087,74.389,73.584,69.469,71.054,74.827,79.158,88.48,89.923,100.456,107.009,113.185,116.828,115.336,109.326,100,100.634,98.725,98.276,90.926
"37","30","  Structures","A760RA3",71.754,66.447,65.791,62.775,62.656,62.077,61.767,60.84,57.649,63.286,64.545,64.838,59.259,54.432,54.397,59.398,65.216,69.4,71.697,72.103,72.174,77.162,78.96,80.27,79.023,78.822,81.672,85.018,88.954,88.903,94.145,97.147,101.888,106.694,107.883,105.096,100,100.508,99.851,100.776,100.859
"38","31","  Less: Consumption of fixed capital","B894RA3",51.314,52.879,54.317,55.658,56.925,58.109,59.221,60.286,61.27,62.257,63.368,64.504,65.52,66.362,67.087,67.896,68.904,70.058,71.309,72.558,73.776,75.066,76.478,77.903,79.316,80.644,82.016,83.577,85.076,86.714,88.401,90.197,92.057,94.076,96.181,98.227,100,101.262,102.97,104.636,106.298
"39","32","  Equals: Net structures","A895RA3",92.965,80.526,77.698,70.16,68.602,66.195,64.409,61.415,53.892,64.354,65.766,65.184,52.763,42.052,41.228,50.579,61.389,68.718,72.1,71.632,70.513,79.337,81.535,82.727,78.719,76.932,81.316,86.513,92.979,91.173,100.107,104.358,112.09,119.788,120.027,112.224,100,99.725,96.613,96.77,95.214
"40","33","            Federal","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","34","              National defense","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","35","              Nondefense","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","36","            State and local","B899RA3",86.146,75.642,70.567,63.923,61.869,60.524,58.632,55.791,48.196,56.118,59.397,57.821,46.522,37.876,36.228,45.099,53.506,59.029,60.369,64.332,65.679,73.616,76.613,75.789,71.302,71.058,74.286,79.907,88.34,86.513,96.221,103.346,111.345,116.748,115.659,110.224,100,98.825,94.084,93.779,89.019
"44","37","  Equipment and software","A871RA3",20.985,19.74,13.724,11.977,13.431,16.348,17.641,19.118,19.463,20.209,23.196,24.958,26.831,29.558,34.953,40.539,47.828,53.573,57.993,56.95,61.739,65.463,64.423,64.429,60.485,58.362,58.845,60.802,60.785,66.473,73.008,75.454,78.015,83.405,87.391,93.825,100,108.114,114.352,126.2,126.759
"45","38","  Less: Consumption of fixed capital","B900RA3",30.33,30.321,29.54,28.474,27.72,27.49,27.745,28.272,28.806,29.39,30.209,31.413,32.801,34.467,36.678,39.707,43.607,47.964,52.293,56.219,60.129,64.227,67.795,70.637,72.707,73.978,74.955,76.128,77.574,79.632,82.641,85.661,88.069,90.42,92.936,96.5,100,104.279,109.083,114.845,120.736
"46","39","  Equals: Net equipment and software","A901RA3",-36.048,-44.836,-82.795,-88.698,-73.766,-51.644,-44.026,-36.744,-37.556,-35.82,-19.6,-14.436,-9.607,-0.398,24.43,45.613,73.59,87.804,92.78,61.41,71.563,73.007,43.849,26.544,-14.101,-36.932,-39.471,-32.73,-41.677,-13.833,14.22,13.163,16.662,40.599,53.554,77.502,100,131.517,146.506,195.491,163.512
"47","40","            Federal","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","41","              National defense","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","42","              Nondefense","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","43","            State and local","B907RA3",17.303,15.696,11.641,18.649,25.946,29.715,19.128,10.222,2.189,5.556,13.339,16.421,7.575,10.303,25.407,47.392,67.065,72.036,63.652,67.282,102.718,106.114,70.034,63.216,52.606,74.658,86.44,75.374,105.445,153.446,184.138,182.687,156.799,125.773,113.048,90.38,100,147.587,228.231,226.107,148.198
"51",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","44","  Gross domestic fixed investment","W172RA3",26.314,25.469,26.347,28.533,30.825,29.491,27.035,29.225,32.452,36.147,38.218,36.3,36.783,34.558,37.102,43.069,45.96,47.158,47.874,49.093,50.658,50.424,47.865,50.182,53.2,57.05,60.318,65.183,70.487,77.298,84.264,89.955,89.096,86.71,89.387,94.956,100,102.459,101.202,96.602,82.298
"53","45","  Less: Consumption of fixed capital","A262RA3",21.645,22.529,23.272,24.138,25.417,26.576,27.493,28.372,29.492,30.836,32.417,33.921,35.282,36.735,37.958,39.542,41.722,43.734,45.77,47.694,49.708,51.678,53.277,54.757,56.594,58.811,61.437,64.538,68.21,72.693,77.814,83.198,87.637,90.814,93.504,96.555,100,103.702,107.753,111.232,113.198
"54","46","  Equals: Net domestic fixed investment","W173RA3",34.038,30.355,31.213,35.345,39.262,34.052,26.295,30.539,36.987,44.396,47.296,40.137,39.163,31.201,35.849,48.724,52.86,52.889,51.614,51.599,52.477,48.972,39.959,43.483,48.095,54.331,58.592,66.224,74.065,84.508,94.416,100.586,91.392,80.247,82.905,92.435,100,100.488,90.787,73.161,32.524
"55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","1. Gross government investment consists of general government and government enterprise expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","for fixed assets; change in inventories is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Note. Chain-type quantity indexes for net investment are computed from chained (2005) dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","estimates of net investment by scaling the chained-dollar estimates to 100 in the reference year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","(2005). Chained (2005) dollar estimates of net investment beginning with 1967 appear in table 5.2.6.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
