"","Table 1#13# National Income by Sector, Legal Form of Organizatio","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63"
"11","4","    Compensation of employees","A442RC1",91.1,88.8,98.7,114.6,123,134,132.2,144.6,158.2,166.5,164,180.3,190.7,195.6,211,222.7,239.2,259.9,288.5,308.4,341.3,378.6,400.2,425.3,472.5,533.9,587.4,614.9,695.2,784.8,901.9,1023.4,1122.6,1243.9,1297.5,1371.2,1520.3,1630.9,1728.6,1849.8,1988.9,2097.6,2208.1,2253,2377,2489.2,2633,2774.1,2916.1,3125,3397.6,3645.2,3957.7,4016.7,4044.5,4156.9,4352.7,4601.3,4876.2,5110.1
"12","5","      Wage and salary accruals","A443RC1",86.9,84.4,93,107.5,115.5,125.8,123.6,134.8,147,154,151.4,165.6,174.5,178.7,191.8,201.9,216.8,235.2,259.2,277.1,305.4,338,356,376.2,414.8,464.6,508.9,528.4,591.2,662.7,756.3,857,938.1,1037.3,1076.7,1136.8,1263.2,1359.8,1440.5,1546.3,1665.3,1754.7,1846.4,1870.3,1962.2,2046.3,2162.9,2299.4,2439.2,2633.9,2867.8,3080.3,3343,3375.6,3327.1,3396.2,3560.1,3769.7,4013,4223.6
"13","6","      Supplements to wages and salaries","A444RC1",4.2,4.4,5.7,7,7.5,8.2,8.6,9.8,11.2,12.5,12.6,14.6,16.2,16.9,19.2,20.8,22.4,24.7,29.3,31.4,35.9,40.6,44.2,49.1,57.8,69.3,78.5,86.4,104,122.1,145.7,166.4,184.5,206.6,220.7,234.4,257.1,271.1,288.1,303.5,323.6,342.8,361.7,382.7,414.7,443,470.1,474.8,476.9,491.1,529.9,564.9,614.7,641.1,717.4,760.7,792.6,831.6,863.3,886.5
"14","7","    Corporate profits with IVA and CCAdj","A445RC1",29.9,27.9,34.7,39.5,37.4,37.9,36.9,47.2,45.7,45.3,41,53,50.6,51.5,59.5,64.9,72,82.8,88.7,86.6,93.2,88.8,76.5,90.2,102.6,110.6,98.3,120.2,146.8,173.3,193.8,188.6,165.7,196.4,177.1,229.2,282,292.2,280,320.8,375.7,359.5,361.7,374.7,406.2,465,523.2,603.9,684.3,757.5,698.7,729.8,672.2,597.6,730.5,827.7,1037.8,1208.5,1401,1297.8
"15","8","    Net interest and miscellaneous payments","A453RC1",0,0,-0.1,-0.2,-0.2,0,0.2,0.2,0,0.2,0.6,-0.2,-0.2,0.4,0.7,0.4,0.8,1.2,2.3,4,3.9,7.8,11.3,11.5,11.3,13,20.7,23.4,18.8,23.3,27.5,34.9,55.9,77.7,90,86.6,98.8,96.9,107,108.3,108.7,129.4,125.3,101.7,79.3,72.1,74.9,66.4,70,95.4,143.3,142.3,178.1,171.3,135.9,120.8,70.4,83,95.2,100.5
"16","9","    Taxes on production and imports less subsidies plus business current transfer payments","W460RC1",13.3,14,15.5,16.9,18.4,19.5,18.7,21,23,24.5,24.6,27,29.4,30.7,33.2,35.6,38.4,41.1,41.9,44.6,51.7,57.3,60.8,66.3,71.3,79.1,85.2,93.1,99.3,106.4,117.2,126.5,141.6,170,179.4,198,224,241.4,249.8,259,279.1,304,319.3,343.7,371.9,377.2,415.8,423.2,442.5,452,485.1,505.7,553.8,561.3,572.9,591.7,637,679.4,697.3,741.6
"17","10","  Noncorporate business","W461RC1",77.5,73.2,78.7,88.2,92,93.9,94.5,98.4,102.4,106.5,109.9,114.3,115.6,118.3,122.7,126.9,133.6,141.1,149.2,154.1,163.1,170.9,177.3,189.2,207.7,240.1,253.4,268.9,295.2,321.1,359.4,397.7,416.8,460,466.7,495.9,590.2,645,673.9,708,789.1,853.5,895.4,905.2,970.8,1005.1,1061.7,1105.7,1192.4,1267.8,1369.3,1455.2,1562.8,1646.9,1650.8,1714.1,1862.5,1983.6,2147.3,2278.9
"18","11","    Compensation of employees","W462RC1",27.1,27,28.9,32.2,34.4,36,35.8,37.2,39.3,40.8,41.2,43.5,43.9,43.8,45.2,46.6,49.3,51,54.4,55.9,59.1,62.1,65.2,67.1,70.6,78.9,85.9,92.8,100.8,108.5,119.9,134.1,146.7,159.3,167.6,177.1,193.9,209.3,219.4,230,255,271.7,291.2,298.2,313.6,328.9,345.9,362.7,381.5,402.8,433.6,468.6,504.9,533.3,553.1,573.8,618.3,659.6,706.2,750.4
"19","12","      Wage and salary accruals","W463RC1",26.3,26.1,27.8,30.9,33.1,34.6,34.4,35.6,37.5,38.7,39.1,40.9,41.1,40.9,42,43.2,45.7,47.4,50.3,51.7,54.5,57.1,59.7,61,63.8,71,76.8,81.7,88,93.9,105,117.2,128,138.6,145.5,152.7,166.9,179.5,187.6,197.3,216.5,229.2,244.6,248.5,260.6,272.8,288.5,303.4,320.8,340.2,366.9,397.2,428.3,450.5,464.2,482.4,514.3,548.4,589.2,627.6
"20","13","      Supplements to wages and salaries","W464RC1",0.8,0.9,1.1,1.3,1.3,1.4,1.5,1.6,1.8,2.1,2.1,2.6,2.8,2.9,3.1,3.4,3.5,3.6,4.1,4.2,4.6,4.9,5.4,6.1,6.8,7.9,9.1,11,12.8,14.5,14.8,16.9,18.7,20.7,22.1,24.4,27,29.8,31.8,32.7,38.5,42.4,46.6,49.7,53.1,56.2,57.3,59.3,60.7,62.6,66.7,71.3,76.7,82.7,88.9,91.5,103.9,111.2,117,122.7
"21","14","    Proprietors' income with IVA and CCAdj","A041RC1",39.3,34.7,37.6,42.7,43.1,42.1,42.3,44.3,45.8,47.9,50.1,50.7,50.8,53.2,55.4,56.5,59.4,63.9,68.2,69.8,74.3,77.4,78.4,84.8,95.9,113.5,113.1,119.5,132.2,145.7,166.6,180.1,174.1,183,176.3,192.5,243.3,262.3,275.7,302.2,341.6,363.3,380.6,377.1,427.6,453.8,473.3,492.1,543.2,576,627.8,678.3,728.4,771.9,768.4,811.3,911.6,959.8,1014.7,1056.2
"22","15","    Rental income of persons with CCAdj","W155RC1",4.7,4.6,5,5.3,5.4,5.5,5.6,5.6,5.6,5.6,5.8,5.7,5.7,5.8,5.9,6.1,6.1,6.3,6.4,6.3,6.4,6.3,6.5,6.5,7.6,8.8,8.6,8.7,8.7,10.4,11.3,12.7,15.7,21.3,24.7,25.4,28.1,31.9,27.3,25.2,24.6,24.1,27.8,32.7,41,44.8,50.5,54.4,57.4,58.8,58.1,58.7,59.6,65.7,57.3,52,49.2,44.2,48.6,59.2
"23","16","    Net interest","W468RC1",1.1,1.3,1.5,1.8,1.9,2.1,2.3,2.5,2.8,3.2,3.5,3.7,4,4.3,4.8,5.4,6.2,6.9,7.8,8.4,9.1,10.4,12,13.7,15.7,19.5,23.4,26.4,28.9,32.4,36.5,44,52.6,64.2,72.9,77.9,95,106.2,115.1,112.7,123.7,142.9,141.4,136.5,124.5,118.2,123.4,122.1,127.5,137.3,152.7,150,172.6,181.9,158.2,156.1,158.8,204.8,234.9,268.1
"24","17","    Taxes on production and imports less subsidies plus business current transfer payments \1\","W469RC1",5.3,5.7,5.8,6.2,7.2,8.1,8.4,8.8,8.9,9.2,9.2,9.7,10.3,10.2,10.6,11,11.3,11.6,11.5,12.8,13,13.7,15.3,17.3,17.4,19.8,23.3,24.8,26.5,26.7,27,29.5,32.6,37.3,29.1,26.3,31.7,34.4,35.1,36.7,41.7,46.6,52.8,55.1,56.5,52.1,60.1,63,70.1,80.3,86.8,89.6,91.8,95.6,113,119.2,128.9,128.6,151.5,152.9
"25","18","    Current surplus of government enterprises \1\","A108RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.9,0.8,0.9,1.4,1.3,1.3,1,0.9,1.2,1,0,-0.2,0.5,-0.4,-0.9,-3.2,-1.8,-2.6,-1.9,-2.6,-4.8,-4.9,-4,-3.1,-1.9,0.8,1.3,1.2,2.5,4.9,1.6,5.7,7.6,7.2,8.6,11.4,12.7,12.6,10.3,10.1,5.3,-1.4,0.9,1.7,-4.2,-13.4,-8.6,-7.9
"26","19","    Sole proprietorships and partnerships","A1641C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.9,97.4,99.2,102.5,104.9,110.6,116.8,123.8,127.5,134.3,140.4,144.7,154.4,168.7,197.5,207.7,220.2,241.6,262.5,295.5,328.5,340,370,368.1,389.5,472.1,511.7,536.9,565.3,637.3,692.5,725.6,721,773.6,806.3,853.2,888,965.7,1031.4,1126.7,1203.1,1299.2,1374.9,1375.3,1439,1577.9,1701.7,1836.5,1945.8
"27","20","      Compensation of employees","A1642C1",24,23.6,25.3,28.2,29.9,31.4,31.2,32.2,34.1,35.2,35.2,37.1,37,36.5,37.2,38.1,40.1,41.3,43.9,44.5,46.4,48.1,49.2,49.6,51.6,58.1,62.3,65.8,71.6,76.8,85.4,95.9,103.3,110.5,116.2,121.9,134.6,145.2,152.7,159.6,179.2,192,204.8,207.9,218.4,232,244.9,259.1,274.7,291.7,316.8,346.9,374.8,398.5,411.3,430.5,463.6,500.4,540.9,578.6
"28","21","        Wage and salary accruals","B1643C1",23.3,22.8,24.3,27,28.6,30.1,29.8,30.7,32.4,33.4,33.4,34.9,34.6,34.1,34.7,35.3,37.3,38.4,40.5,41.1,42.7,44.2,45.1,45.3,46.8,52.4,56.1,59,63.7,68,76.6,86,92.9,99.5,104.7,109.2,119.9,129.3,135.3,142.1,157.8,167.6,178.5,179.9,188.8,199.9,212.9,225.6,240.3,256.3,278.2,304.6,328.7,347.8,356.1,371.5,397.2,428.5,464.4,497.6
"29","22","        Supplements to wages and salaries","B1644C1",0.8,0.8,1,1.2,1.2,1.3,1.4,1.5,1.6,1.8,1.8,2.1,2.3,2.4,2.6,2.8,2.8,2.9,3.4,3.4,3.7,3.9,4.1,4.3,4.8,5.6,6.2,6.8,7.9,8.8,8.8,9.8,10.4,11,11.5,12.7,14.7,16,17.4,17.5,21.4,24.3,26.2,28,29.6,32.1,32.1,33.6,34.4,35.4,38.5,42.3,46.1,50.7,55.2,58.9,66.4,71.9,76.4,80.9
"30","23","      Proprietors' income with IVA and CCAdj","A1645C1",39.3,34.7,37.6,42.7,43.2,42.2,42.4,44.3,45.9,47.9,50.2,50.3,50.4,52.8,54.9,56,58.9,63.4,67.6,69.3,73.8,76.9,77.9,84.3,95.3,112.8,112.5,118.9,131.5,145,166,179.4,173.5,182.3,175.6,191.4,242,261.2,274.6,300.5,339.7,361.3,379,375.2,425.6,451.8,470.8,489.5,540.8,573.3,625.7,676.7,726.9,770.5,767.1,810,909.3,957.4,1011.8,1052.7
"31","24","        Farm","B042RC1",16.7,12,12.9,15.3,14.3,12.1,11.7,10.6,10.5,10.4,12.3,10,10.5,11,11,10.8,9.6,11.8,12.8,11.5,11.5,12.6,12.7,13.2,16.8,28.9,23.2,21.7,17,15.7,19.6,21.8,11.3,18.7,13.1,6,20.6,20.8,22.6,28.7,26.8,33,31.9,26.7,34.5,31.2,33.9,22.7,37.3,34.2,29.4,28.6,22.7,19.7,10.6,29.2,37.3,34.1,16.2,44
"32","25","        Nonfarm","A1646C1",22.6,22.7,24.7,27.5,28.9,30,30.7,33.7,35.4,37.5,37.8,40.3,39.9,41.7,43.9,45.2,49.3,51.6,54.9,57.9,62.3,64.3,65.2,71.1,78.5,84,89.3,97.2,114.6,129.3,146.4,157.6,162.2,163.6,162.5,185.5,221.4,240.4,252,271.9,312.8,328.3,347.1,348.5,391,420.6,436.8,466.8,503.4,539.1,596.4,648.2,704.2,750.8,756.5,780.8,872,923.3,995.6,1008.7
"33","26","      Net interest","B1649C1",0.5,0.5,0.6,0.7,0.8,0.8,0.8,0.9,1,1.1,1.3,1.3,1.4,1.5,1.7,2,2.5,2.9,3.5,3.8,4.2,5.1,6,7.2,8.4,11.2,14,15.5,17.1,19.3,22.1,28.1,34.5,44,50.8,54.1,68.6,76.2,81.3,76.6,85.1,101.3,98.1,92.3,82.9,80.2,86.6,84.7,89.6,98.1,111.9,106.3,124.4,129.8,104.6,102,101,141.2,163.4,189.2
"34","27","      Taxes on production and imports less subsidies plus business current transfer payments","W471RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2,8.7,8.4,8.6,8.9,9.1,9.2,8.9,10,9.9,10.4,11.6,13.2,13.4,15.4,19,20,21.4,21.4,22.1,25.2,28.6,33.3,25.5,22,26.8,29.1,28.3,28.6,33.3,37.9,43.7,45.5,46.8,42.3,50.9,54.6,60.6,68.3,72.2,73.1,73.1,76.1,92.2,96.5,104,102.7,120.4,125.3
"35","28","    Other private business","A1650C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.4,11.9,12.6,13.2,14,14.6,15.4,16.1,16.8,17.7,18.5,19.8,21,23.3,26.2,27.3,29.7,31.4,35.2,37.4,40.5,45.9,54.3,59.8,63.6,70.7,79.1,80.1,82.7,85.3,88.9,94.8,101.5,107.9,108.8,113.4,117.5,122.6,129.3,134.5,141.1,150.6,162.4,159.2,157.9,164.5,167.9,188,205.5
"36","29","      Compensation of employees","A1651C1",0.8,0.8,1,1.1,1.1,1.2,1.2,1.3,1.3,1.3,1.4,1.4,1.5,1.7,1.8,1.9,2,2.1,2.3,2.6,2.8,3,3.2,3.4,3.8,4.1,4.4,4.7,5.1,5.7,6.2,6.9,7.5,8.2,8.6,9.2,10,10.7,11.1,11.6,11.8,12.5,13,13.2,13.7,14.1,14.4,14.8,15.4,16.5,19,20.7,22.5,23.7,26.3,27.9,30.3,31.9,33.9,36.3
"37","30","        Wage and salary accruals","B1652C1",0.8,0.8,0.9,1,1,1.1,1.1,1.2,1.2,1.3,1.3,1.3,1.4,1.5,1.7,1.8,1.9,2,2.1,2.4,2.5,2.8,2.9,3.1,3.4,3.7,3.9,4.2,4.5,5,5.6,6.2,6.8,7.3,7.7,8.2,8.9,9.5,9.8,10.3,10.5,11.1,11.5,11.6,11.9,12.3,12.6,13,13.6,14.7,16.9,18.4,20,21,23.1,24.5,26.3,27.6,29.8,31.9
"38","31","        Supplements to wages and salaries","B1653C1",0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.7,0.6,0.7,0.8,0.8,0.9,1,1.1,1.2,1.3,1.3,1.3,1.4,1.5,1.6,1.7,1.8,1.8,1.8,1.8,1.8,2.1,2.3,2.6,2.7,3.1,3.4,4.1,4.3,4.1,4.4
"39","32","      Proprietors' income with IVA and CCAdj","A1654C1",0,0,0,0,0,0,0,0,0,-0.1,0,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.6,0.7,0.8,1.1,1.3,1.1,1.1,1.7,1.9,2,1.6,1.9,2,2,2.5,2.6,2.4,2.7,2,1.5,1.5,1.4,1.3,1.2,2.3,2.4,2.9,3.5
"40","33","      Rental income of persons with CCAdj","W155RC1",4.7,4.6,5,5.3,5.4,5.5,5.6,5.6,5.6,5.6,5.8,5.7,5.7,5.8,5.9,6.1,6.1,6.3,6.4,6.3,6.4,6.3,6.5,6.5,7.6,8.8,8.6,8.7,8.7,10.4,11.3,12.7,15.7,21.3,24.7,25.4,28.1,31.9,27.3,25.2,24.6,24.1,27.8,32.7,41,44.8,50.5,54.4,57.4,58.8,58.1,58.7,59.6,65.7,57.3,52,49.2,44.2,48.6,59.2
"41","34","      Net interest","B1657C1",0.7,0.8,0.9,1.1,1.2,1.3,1.5,1.6,1.8,2,2.2,2.4,2.6,2.8,3.1,3.4,3.7,4,4.3,4.6,4.9,5.3,5.9,6.6,7.3,8.3,9.4,10.9,11.8,13.1,14.4,16,18.1,20.2,22.1,23.8,26.4,30,33.9,36.1,38.6,41.6,43.3,44.1,41.7,38,36.8,37.4,37.9,39.2,40.8,43.7,48.2,52.1,53.6,54.1,57.8,63.6,71.5,78.9
"42","35","      Taxes on production and imports less subsidies plus business current transfer payments","W473RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,1.7,1.8,1.9,2.1,2.2,2.4,2.6,2.8,3.1,3.3,3.7,4.1,4,4.4,4.4,4.8,5.1,5.3,4.9,4.2,4,4,3.7,4.2,4.9,5.3,6.8,8.2,8.5,8.7,9.1,9.6,9.6,9.8,9.2,8.3,9.5,12,14.6,16.5,18.7,19.4,20.8,22.7,24.9,25.8,31.1,27.6
"43","36","    Government enterprises","W474RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6.4,6.5,7,7.9,8.4,9,9.3,9.7,11.1,12,12.8,13.8,15.7,16.4,18.4,19,22.2,23.3,26.5,28.7,31,35.7,38.8,42.8,47.4,54.3,56.8,60,66.5,72.1,75,82.8,89.2,90,95.1,100.2,104.1,107.1,108.2,111,113,109.7,116.4,117.2,120.1,113.9,122.8,127.6
"44","37","      Compensation of employees","A1658C1",2.3,2.5,2.6,2.9,3.4,3.5,3.5,3.8,3.9,4.2,4.6,5,5.5,5.7,6.1,6.6,7.1,7.6,8.3,8.8,9.9,11,12.8,14,15.2,16.8,19.3,22.2,24,25.9,28.3,31.4,35.8,40.6,42.8,46,49.3,53.4,55.6,58.9,64,67.2,73.4,77.1,81.6,82.8,86.6,88.8,91.4,94.5,97.9,101,107.6,111.1,115.5,115.5,124.3,127.3,131.4,135.5
"45","38","        Wage and salary accruals","B1659C1",2.2,2.5,2.6,2.9,3.4,3.4,3.5,3.7,3.8,4,4.4,4.7,5.1,5.3,5.7,6.1,6.5,7.1,7.7,8.2,9.3,10.2,11.7,12.5,13.5,14.9,16.8,18.5,19.8,20.9,22.9,25,28.2,31.7,33.1,35.3,38.1,40.8,42.4,44.9,48.2,50.5,54.6,57,59.9,60.5,63.1,64.8,66.9,69.2,71.8,74.3,79.6,81.8,84.9,86.3,90.9,92.3,95,98.1
"46","39","        Supplements to wages and salaries","B1660C1",0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.8,1.1,1.5,1.7,1.9,2.5,3.7,4.3,5,5.5,6.4,7.5,8.9,9.7,10.7,11.2,12.6,13.1,13.9,15.7,16.7,18.8,20.1,21.7,22.3,23.5,24,24.5,25.4,26.1,26.7,28.1,29.3,30.6,29.2,33.4,35,36.4,37.4
"47","40","      Current surplus of government enterprises \1\","A108RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.9,0.8,0.9,1.4,1.3,1.3,1,0.9,1.2,1,0,-0.2,0.5,-0.4,-0.9,-3.2,-1.8,-2.6,-1.9,-2.6,-4.8,-4.9,-4,-3.1,-1.9,0.8,1.3,1.2,2.5,4.9,1.6,5.7,7.6,7.2,8.6,11.4,12.7,12.6,10.3,10.1,5.3,-1.4,0.9,1.7,-4.2,-13.4,-8.6,-7.9
"48","41","Households and institutions","W503RC1",11.6,12.7,14.2,15.8,17.7,19.9,21.8,24.1,26.2,28.5,31.1,33.9,37.5,40,43.4,46.3,49.3,52.8,56.9,61.3,66.1,72.7,79,87.1,94.2,102.6,111.7,122.8,133.3,144.7,161.3,179.8,206.9,236.1,264.3,290.9,320.1,346.7,374.8,410.8,452.6,490.2,536,573.4,603.2,634.1,666.4,704.5,736.4,773,819.1,870.3,928.6,988.6,1040.5,1067.5,1114.2,1107.8,1226.8,1297.9
"49","42","  Households","W504RC1",8.2,9,10.1,11.4,12.9,14.6,16,17.8,19.3,20.9,22.7,24.7,27,28.8,31.1,33,34.7,36.7,38.8,41.2,43.3,46.4,49.6,54.3,57.9,62.3,66.9,72.8,78.9,85.3,94.8,105.1,121.3,138.9,155.2,169.4,185.7,202.6,217.2,233.7,255,273.8,297.7,315.4,323.3,338.1,358,376.9,394.2,413.7,436.6,466.2,498.2,534.6,554.1,555.3,571.3,542.6,637.6,676.6
"50","43","    Compensation of employees","W151RC1",2.4,2.4,2.6,2.7,2.6,2.7,2.6,3.1,3.3,3.3,3.5,3.6,3.8,3.7,3.8,3.8,3.9,4,4,4.2,4.4,4.4,4.5,4.6,4.6,4.8,4.6,4.6,5.4,5.9,6.5,6.4,6.1,6.2,6.3,6.3,7.3,7.3,7.7,7.7,8.3,8.9,9.4,9.1,10.1,10.7,11.1,11.9,12,12,14,12.7,13.6,12.8,12.6,13.9,14.9,15,16.1,17.7
"51","44","      Wage and salary accruals","B1661C1",2.4,2.4,2.6,2.6,2.6,2.7,2.6,3,3.2,3.3,3.5,3.5,3.8,3.7,3.8,3.8,3.9,3.9,4,4.1,4.3,4.4,4.4,4.5,4.6,4.7,4.5,4.6,5.3,5.8,6.4,6.3,6,6,6.1,6.2,7.1,7.2,7.6,7.6,8.1,8.7,9.2,8.9,9.9,10.4,10.8,11.6,11.7,11.7,13.6,12.4,13.2,12.5,12.3,13.6,14.5,14.7,15.7,17.3
"52","45","      Supplements to wages and salaries","B1662C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4
"53","46","    Rental income of persons with CCAdj","B1156C1",3.2,3.6,4.2,4.9,5.8,7,7.9,8.3,8.6,9,9.5,10.4,11.4,12.1,12.9,13.4,13.5,13.8,14.4,14.8,14.5,14.8,14.8,15.9,15.7,15.3,15.6,14.9,13.5,10,10.6,11,14,16.2,13.4,11.6,11.2,9,5.3,7.3,15,18,21.8,26.4,35.6,49.3,67.5,65.8,72,67.9,77.1,86.4,88.7,99.7,93.4,78.8,67,-5.3,-6.5,-21.6
"54","47","    Net interest","A2015C1",1.3,1.4,1.6,1.9,2.2,2.5,2.9,3.3,3.9,4.6,5.2,5.9,6.6,7.2,8.1,8.8,9.7,10.6,11.4,12.1,13.1,14.5,15.9,18.1,20.9,24,27.5,32,36,42.5,50.2,60.1,71.4,83.1,99.1,112.6,125.5,141.9,155.8,165.4,175.7,189,203.6,211.9,213.1,203.3,202.3,218.1,226.9,241.3,252.5,269.7,294.7,317.9,331,336.3,359.5,408.7,472.2,519.6
