"","Table 2#4#4U# Chain-Type Price Indexes for Personal Consumption ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201"
"61","53","P1CAMG D         Photographic equipment","P1CAMG3",62.281,62.472,62.953,63.09,63.22,63.35,63.446,63.442,63.644,63.733,64.041,63.986,64.253,64.354,64.561,64.398,64.362,64.787,65.243,68.525,73.929,73.282,72.943,72.731,72.119,71.359,69.975,68.442,67.928,67.793,67.601,67.528,67.176,66.65,66.015,65.043,64.171,63.349,63.207,63.343,63.013,62.898,61.798,61.548,60.672,60.793,60.721,60.104,59.828,59.135,58.97,58.962,61.724,61.475,61.407,61.536,61.513,61.823,62.692,63.127,63.401,63.769,64.165,65.109,65.328,65.426,65.506,65.569,66.202,66.469,66.427,66.688,66.768,66.379,66.789,67.16,68.898,68.303,69.13,70.118,70.791,70.745,71.83,73.375,76.222,79.33,80.799,81.316,81.247,82.162,82.469,82.948,83.459,84.36,84.857,84.93,85.568,84.956,84.94,85.63,85.219,85.685,86.718,87.515,87.21,87.024,87.202,87.601,88.531,89.851,90.747,91.885,93.688,95.779,96.611,97.246,97.866,98.845,100.677,102.459,102.788,103.973,104.219,105.667,106.258,106.351,106.02,106.463,107.069,107.764,108.285,108.173,108.539,109.509,110.066,109.436,110.436,110.575,109.676,110.02,108.617,108.22,108.084,107.503,107.593,108.451,109.372,108.826,108.309,108.441,108.845,108.235,108.782,108.781,108.155,108.854,106.827,106.357,106.069,104.349,104.513,103.059,102.052,101.66,102.353,100.919,99.011,98.056,96.837,95.211,93.545,91.457,89.415,89.455,87.923,85.696,84.035,81.6,80.862,79.057,76.104,72.49,71.164,68.092,65.493,64.251,63.222,61.313,59.918,56.482,54.358,51.194,47.365,44.865,44.878,43.034,41.088,39.522
"62","54","P1BCYG D         Bicycles","P1BCYG3",37.763,37.851,38.095,38.287,38.195,38.348,38.393,38.421,38.481,38.624,38.66,38.865,38.964,38.956,39.125,39.005,39.002,39.177,39.47,39.626,39.02,38.668,38.628,38.737,38.58,38.469,38.557,38.665,38.679,38.901,39.127,39.462,39.808,40.114,40.142,40.184,40.676,40.85,41.433,41.967,42.161,42.67,42.971,43.313,43.873,43.225,43.392,43.812,44.403,44.982,45.357,45.669,46.118,46.293,46.691,47.132,47.701,48.657,49.263,50.223,51.048,52.67,54.54,55.784,57.013,57.361,57.566,57.378,57.599,58.019,58.249,58.801,58.936,58.656,59.051,59.202,59.401,61.245,60.81,61.035,62.337,64.713,65.546,66.12,68.858,70.716,71.645,72.67,74.164,75.713,75.381,76.735,77.926,79.041,78.868,78.396,78.571,78.889,79.463,79.688,80.627,82.253,82.274,82.95,83.593,83.656,84.296,85.784,85.289,83.72,82.959,82.232,82.693,83.151,83.017,83.96,84.424,85.133,86.033,86.976,87.51,88.094,87.873,88.867,89.494,89.688,90.803,91.007,91.053,91.733,91.852,92.323,92.215,94.393,93.468,93.397,93.34,93.832,93.836,93.674,93.781,94.501,94.318,96.009,97.205,96.873,96.496,96.182,97.578,97.488,96.476,95.299,95.913,95.535,95.571,95.162,95.342,95.041,95.782,96.819,97.674,98.029,98.997,98.532,99.125,100.142,99.866,100.883,101.306,101.51,101.61,101.409,100.848,101.351,100.107,100.491,100.494,99.959,99.347,98.306,99.899,101.308,99.295,99.296,100.213,100.669,102.558,103.475,103.527,104.646,106.63,106.734,105.973,104.862,104.721,105.908,106.065,106.022
"63","55","P1MCYG D         Motorcycles","P1MCYG3",27.319,27.467,27.405,27.483,27.247,27.172,27.059,26.701,26.962,27.073,27.203,26.952,26.976,27.015,27.037,26.797,26.722,26.815,26.88,26.809,26.823,26.767,26.747,26.488,26.604,26.327,26.052,25.572,25.539,25.696,25.706,25.666,25.523,25.624,25.992,26.342,26.458,26.499,26.647,26.884,26.811,26.928,27.055,27.296,27.316,27.462,27.779,28.895,29.468,29.45,28.777,28.212,28.707,28.811,28.935,28.517,28.494,28.731,28.891,28.909,28.953,29.732,30.942,32.038,32.142,32.892,33.169,33.923,34.498,34.824,35.217,36.124,36.278,36.48,36.902,38.329,38.936,39.358,40.073,40.859,41.824,42.759,43.347,43.932,45.092,46.036,47.007,47.473,47.625,49.011,49.815,50.442,50.593,51.017,51.496,51.466,51.948,52.148,52.526,53.225,53.465,53.781,54.115,54.557,55.129,55.553,55.838,56.264,56.842,57.737,58.444,59.3,60.361,60.759,61.174,61.945,62.544,63.999,64.146,64.752,66.233,66.249,66.566,67.86,68.011,68.698,68.519,69.079,70.301,71.186,72.162,72.89,73.494,74.193,75.001,75.85,76.582,77.442,78.771,80.898,82.735,84.347,86.158,87.361,88.586,90.276,91.331,92.415,93.807,95.325,95.531,95.795,96.167,96.347,96.819,96.922,96.789,96.537,96.857,96.543,96.45,96.923,97.716,98.49,99.174,99.728,100.57,100.526,100.891,100.891,100.895,100.899,100.923,100.908,100.888,100.882,100.886,100.888,100.892,100.892,101.354,102.217,102.482,101.788,102.1,103.56,104.732,102.716,102.785,102.341,103.41,102.465,100.415,100.503,100.711,99.033,100.468,100.586
"64","56","P1BTAG D       Pleasure boats and aircraft","P1BTAG3",25.775,25.73,25.771,25.848,26.187,26.66,26.749,26.846,26.619,26.446,26.285,26.249,26.346,26.585,26.857,27.059,27.057,27.137,27.253,27.371,27.495,27.61,27.705,27.867,27.981,27.902,27.969,28.082,28.304,28.626,28.687,28.939,29.118,29.232,29.531,29.858,30.115,30.405,30.675,30.952,31.744,32.311,32.306,31.821,30.556,29.308,29.175,30.447,32.769,35.219,36.654,36.702,36.879,36.919,37.36,37.768,38.402,39.28,39.645,40.483,42.794,44.033,46.098,47.28,49.786,50.526,50.596,51.349,51.988,52.807,53.317,54.611,55.528,56.374,57.814,58.548,59.379,61.269,60.838,61.038,62.286,64.568,65.418,65.983,68.859,70.748,71.73,72.78,74.178,75.781,75.422,76.758,77.946,79.018,78.851,78.306,78.61,78.928,79.524,79.757,80.676,82.282,82.289,82.949,83.586,83.642,84.39,85.683,85.142,83.56,82.767,82.054,82.63,83.117,83.021,83.987,84.474,85.211,86.12,87.047,87.567,88.146,87.913,88.896,89.5,89.675,90.775,90.987,91.043,91.725,91.855,92.376,92.198,94.386,93.469,93.402,93.328,93.823,93.849,93.702,93.848,94.567,94.395,96.059,97.233,96.871,96.485,96.144,97.512,97.431,96.454,95.272,95.914,95.552,95.591,95.183,95.357,95.053,95.79,96.817,97.702,98.052,99.016,98.538,99.12,100.148,99.854,100.879,101.297,101.504,101.607,101.416,100.86,101.381,100.109,100.464,100.437,99.916,99.29,98.249,99.938,101.303,99.305,99.297,100.179,100.651,102.533,103.468,103.55,104.689,106.663,106.773,105.996,104.856,104.702,105.89,106.047,105.996
"65","57","P1BOAG D         Pleasure boats","P1BOAG3",25.767,25.724,25.766,25.845,26.196,26.669,26.754,26.85,26.623,26.435,26.277,26.242,26.334,26.567,26.846,27.044,27.045,27.124,27.245,27.363,27.482,27.598,27.698,27.855,27.971,27.897,27.958,28.071,28.289,28.607,28.662,28.919,29.095,29.214,29.516,29.844,30.11,30.4,30.669,30.949,31.734,32.296,32.289,31.8,30.526,29.289,29.17,30.462,32.842,35.32,36.758,36.782,36.866,36.868,37.29,37.697,38.389,39.298,39.694,40.552,42.886,44.129,46.194,47.35,49.781,50.477,50.519,51.253,51.915,52.749,53.291,54.62,55.611,56.485,57.936,58.658,59.396,61.259,60.822,61.041,62.397,64.714,65.575,66.121,68.889,70.725,71.667,72.694,74.121,75.733,75.39,76.745,77.965,79.048,78.882,78.327,78.59,78.891,79.476,79.706,80.638,82.253,82.273,82.949,83.598,83.68,84.46,85.789,85.307,83.737,82.938,82.202,82.717,83.164,83.031,83.964,84.426,85.145,86.045,86.972,87.511,88.102,87.884,88.881,89.497,89.684,90.794,91.013,91.072,91.757,91.885,92.403,92.215,94.4,93.48,93.411,93.345,93.835,93.849,93.687,93.798,94.507,94.335,96.01,97.219,96.88,96.514,96.189,97.572,97.494,96.512,95.318,95.931,95.554,95.584,95.171,95.355,95.051,95.788,96.813,97.69,98.04,99.007,98.535,99.133,100.166,99.874,100.898,101.307,101.508,101.606,101.411,100.841,101.365,100.105,100.478,100.484,99.971,99.346,98.298,99.944,101.301,99.304,99.308,100.208,100.677,102.551,103.474,103.519,104.647,106.617,106.734,105.99,104.863,104.717,105.91,106.067,106.016
"66","58","P1AIRG D         Pleasure aircraft","P1AIRG3",25.748,25.704,25.777,25.875,26.175,26.679,26.801,26.885,26.585,26.487,26.268,26.202,26.319,26.589,26.81,27.052,27.052,27.149,27.228,27.34,27.484,27.584,27.628,27.857,28.01,27.865,27.997,28.098,28.265,28.593,28.718,28.889,29.137,29.218,29.504,29.868,30.102,30.406,30.706,30.928,31.734,32.302,32.292,31.827,30.553,29.278,29.157,30.445,32.856,35.312,36.771,36.801,36.855,36.873,37.278,37.692,38.405,39.303,39.682,40.579,42.897,44.18,46.207,47.375,49.799,50.499,50.516,51.278,51.923,52.771,53.29,54.635,55.613,56.507,57.96,58.673,59.395,61.259,60.824,61.041,62.397,64.714,65.572,66.119,68.886,70.726,71.663,72.693,74.119,75.734,75.391,76.741,77.956,79.049,78.882,78.325,78.588,78.891,79.476,79.705,80.638,82.254,82.272,82.949,83.598,83.681,84.459,85.789,85.306,83.737,82.938,82.203,82.715,83.164,83.031,83.964,84.425,85.147,86.046,86.975,87.514,88.102,87.883,88.881,89.498,89.685,90.797,91.012,91.074,91.755,91.888,92.4,92.218,94.4,93.48,93.411,93.347,93.833,93.851,93.689,93.796,94.508,94.336,96.008,97.218,96.881,96.514,96.189,97.569,97.496,96.509,95.316,95.929,95.555,95.584,95.171,95.354,95.051,95.788,96.813,97.69,98.04,99.007,98.535,99.133,100.166,99.874,100.898,101.307,101.508,101.606,101.411,100.841,101.365,100.105,100.478,100.484,99.971,99.346,98.298,99.944,101.301,99.304,99.308,100.208,100.677,102.551,103.474,103.519,104.647,106.617,106.734,105.99,104.863,104.717,105.91,106.067,106.016
"67","59","P1JRYG C     Jewelry and watches (18)","P1JRYG3",43.189,43.249,43.219,43.221,43.22,43.189,43.252,43.157,43.19,43.189,43.188,43.155,43.191,43.188,43.221,43.222,43.22,43.191,43.222,44.185,46.195,46.072,46.044,46.199,46.076,45.761,44.673,43.146,42.664,42.601,42.724,42.973,42.912,43.094,43.344,43.656,43.872,43.84,44.772,45.885,46.506,47.126,47.345,47.563,47.808,47.935,47.934,48.089,48.43,48.773,49.05,49.144,49.452,49.796,50.262,50.631,50.974,51.591,52.153,52.491,53.358,54.259,55.091,56.515,57.454,58.294,59.225,59.813,60.057,60.275,60.987,61.327,61.026,61.117,61.826,62.007,63.033,63.861,65.4,66.971,67.682,68.931,71.04,75.013,81.948,88.677,91.025,92.554,92.334,91.867,91.806,91.868,91.238,89.263,89.323,89.477,90.193,90.841,92.026,91.929,92.051,92.489,91.804,91.237,90.872,91.429,91.235,90.347,90.122,90.627,92.619,93.5,96.558,97.363,99.954,100.933,102.41,103.202,104.27,106.293,106.596,107.574,109.548,108.164,113.226,115.314,114.074,115.073,117.063,116.046,118.321,120.717,119.88,118.729,119.781,119.205,118.127,118.929,118.921,118.114,119.237,118.662,120.075,119.14,118.55,117.646,117.987,117.639,116.075,114.126,112.673,112.102,111.103,109.454,109.041,107.697,107.316,105.588,104.133,104.219,102.511,103.512,102.954,101.851,101.083,100.025,98.945,100.01,101.537,99.801,99.205,99.225,98.568,97.622,96.45,96.422,94.337,93.873,94.407,93.112,93.898,95.817,94.588,93.699,93.289,92.305,93.682,93.288,92.84,95.041,96.55,97.208,99.63,99.295,99.955,101.499,104.184,106.835
"68","60","P1BKSG C     Books and maps (87)","P1BKSG3",16.869,16.848,16.869,16.87,16.932,16.933,16.954,16.998,17.062,17.062,17.084,17.126,17.17,17.191,17.192,17.235,17.278,17.514,17.624,17.352,16.85,16.976,17.062,17.018,17.126,17.106,17.385,17.689,17.967,17.88,17.881,17.902,17.993,18.272,18.549,18.83,19.134,19.197,19.388,19.712,20.036,20.348,20.919,21.047,21.548,21.349,21.589,22.399,22.878,23.028,23.156,23.115,23.29,24.238,24.409,24.817,25.033,24.686,24.844,24.968,25.012,24.635,25.631,26.307,26.778,30.82,31.068,32.183,32.615,33.869,34.598,35.163,35.565,36.934,37.674,38.149,39.644,40.248,40.985,41.689,42.674,43.39,44.15,45.311,46.304,47.336,48.684,50.502,51.834,52.693,53.375,55.106,57.858,59.033,59.319,61.102,62.754,63.202,63.744,64.92,63.846,64.339,65.271,66.425,68.201,69.378,70.526,70.496,71.738,72.596,73.322,73.523,73.937,74.121,74.332,74.983,75.829,76.396,76.948,77.626,78.153,78.786,80.037,80.995,83.011,83.833,84.317,84.665,85.741,86.382,87.529,87.576,87.702,88.991,89.259,89.736,90.764,90.965,91.272,91.838,92.132,92.737,93.547,93.408,93.627,93.708,94.579,96.318,97.615,97.415,98.366,98.711,98.956,98.615,99.488,99.673,100.289,102.216,103.095,102.092,101.364,101.169,98.337,99.697,100.065,99.892,100.026,100.021,100.089,101.169,101.474,101.873,103.458,104.209,104.507,104.516,103.832,103.372,103.082,103.141,103.408,103.946,103.233,103.668,103.14,103.23,103.331,102.914,102.489,102.423,102.223,102.835,102.979,103.234,103.172,104.028,104.339,104.915
"69","61","P1TNDG B Nondurable goods","P1TNDG3",22.646,22.694,22.815,22.904,22.911,23.061,23.132,23.251,23.294,23.171,23.228,23.214,23.304,23.38,23.422,23.542,23.595,23.59,23.745,23.802,23.926,23.936,23.996,24.085,24.172,24.381,24.528,24.611,24.92,25.141,25.341,25.526,25.582,25.673,25.935,26.13,26.409,26.67,26.951,27.25,27.479,27.869,28.278,28.624,29.012,29.35,29.572,29.847,29.949,30.245,30.521,30.722,31.046,31.172,31.455,31.817,32.438,33.377,34.222,35.317,36.958,38.215,39.276,40.36,40.974,41.214,42.078,42.674,42.831,42.955,43.522,44.076,44.868,45.727,46.253,46.798,47.462,48.618,49.489,50.371,51.733,53.402,55.011,56.443,58.472,59.84,61.081,62.405,64.172,64.874,65.479,65.993,66.4,66.512,67.368,67.541,67.504,68.313,68.81,68.917,69.693,69.848,70.085,70.39,70.919,71.411,71.64,72.201,72.012,70.738,71.056,71.287,72.709,73.444,74.144,74.628,74.977,75.77,76.73,77.348,78.317,80.109,80.228,80.714,82.547,83.153,84.679,86.525,86.377,86.635,86.844,87.26,87.464,87.862,88.418,88.677,88.996,88.981,88.758,89.157,89.009,89.235,90.022,90.153,90.213,90.564,90.782,90.958,91.718,92.568,92.577,93.403,93.833,93.678,93.801,94.026,93.578,93.521,93.973,94.213,94.566,95.801,96.751,97.575,98.816,99.717,100.562,100.905,101.256,102.121,101.895,100.852,100.895,102.238,102.464,102.76,104.175,103.423,104.424,104.558,105.918,107.53,107.903,109.153,109.554,110.1,113.057,113.712,113.794,115.155,116.412,114.578,116.025,117.83,118.682,121.092,123.059,125.021
"70","62","P1TFDG B   Food","P1TFDG3",19.931,19.898,19.976,19.99,20.012,20.22,20.23,20.397,20.467,20.377,20.358,20.359,20.526,20.6,20.661,20.757,20.858,20.827,20.976,21.018,21.209,21.256,21.373,21.47,21.472,21.714,21.884,21.941,22.362,22.617,22.781,22.914,22.841,22.859,23.123,23.267,23.511,23.727,23.963,24.257,24.409,24.783,25.264,25.669,26.155,26.476,26.694,26.872,26.892,27.315,27.569,27.76,28.236,28.393,28.72,29.091,29.957,31.146,32.372,33.493,34.829,35.688,36.534,37.885,38.527,38.526,39.358,40.014,40.031,40.027,40.549,40.966,41.695,42.826,43.35,43.809,44.812,46.521,47.588,48.408,50.034,51.191,51.879,52.882,53.859,54.997,56.727,58.385,59.4,59.86,60.714,61.042,61.677,62.28,62.747,62.784,62.991,63.649,63.872,64.283,65.377,65.587,66.065,66.279,66.77,66.966,67.163,67.757,68.241,68.633,69.52,70.026,70.698,71.238,71.648,71.998,72.522,73.211,74.427,75.06,76.046,77.214,77.981,78.668,80.124,80.664,81.69,82.253,83.329,84.112,84.116,84.193,84.52,84.739,85.175,85.358,85.635,86.133,86.357,86.87,87.036,87.357,88.029,88.295,88.783,89.451,89.803,90.255,90.858,91.66,92.497,93.343,93.658,93.928,94.397,94.805,95.258,95.577,96.031,96.607,97.078,97.446,97.876,98.443,98.997,99.626,100.458,100.918,101.781,102.524,103.435,104.03,104.545,104.798,105.032,105.43,105.932,106.545,107.247,108.218,108.968,110.038,110.73,111.34,111.643,112.572,113.024,113.733,114.418,114.852,115.75,116.356,117.714,119.023,120.44,121.553,123.007,124.943
"71","63","P1OPFG C     Food and alcoholic beverages purchased for off-premise consumption (3)","P1OPFG3",22.334,22.187,22.253,22.261,22.218,22.489,22.487,22.707,22.766,22.601,22.527,22.468,22.681,22.739,22.766,22.863,22.977,22.888,23.099,23.121,23.373,23.403,23.574,23.702,23.641,23.957,24.133,24.119,24.671,24.959,25.086,25.177,24.938,24.836,25.133,25.234,25.482,25.682,25.885,26.191,26.298,26.698,27.24,27.628,28.167,28.41,28.603,28.747,28.595,29.107,29.346,29.525,30.144,30.239,30.595,31.014,32.148,33.608,35.076,36.232,37.954,38.909,39.723,41.374,41.989,41.714,42.717,43.376,43.149,42.867,43.379,43.787,44.582,45.836,46.285,46.706,47.874,49.935,50.971,51.711,53.605,54.714,55.254,56.236,57.145,58.382,60.515,62.466,63.294,63.457,64.31,64.46,65.108,65.683,65.958,65.69,65.687,66.394,66.554,66.806,68.086,68.055,68.479,68.547,68.974,68.873,68.87,69.413,69.844,70.037,71.057,71.509,72.167,72.706,72.965,73.176,73.581,74.196,75.631,76.239,77.295,78.662,79.393,80.008,81.798,82.034,83.222,83.72,84.897,85.72,85.313,85.202,85.526,85.649,86.164,86.255,86.429,86.953,87.093,87.762,87.831,88.12,89.037,89.153,89.628,90.367,90.639,91.088,91.794,92.696,93.67,94.508,94.636,94.817,95.201,95.432,95.815,96.054,96.423,96.965,97.33,97.599,97.927,98.478,98.958,99.644,100.531,100.867,101.778,102.456,103.366,103.835,104.275,104.362,104.313,104.549,105.097,105.731,106.489,107.598,108.231,109.439,109.912,110.454,110.312,111.354,111.587,112.18,112.69,112.802,113.664,114.134,115.566,117.056,118.457,119.543,121.134,123.424
"72","64","P1FOPG G       Food purchased for off-premise consumption","P1FOPG3",21.301,21.129,21.175,21.171,21.123,21.405,21.39,21.622,21.69,21.512,21.43,21.365,21.589,21.646,21.673,21.771,21.89,21.781,21.998,22.015,22.282,22.316,22.497,22.63,22.562,22.897,23.077,23.05,23.63,23.931,24.061,24.162,23.895,23.777,24.067,24.149,24.398,24.605,24.814,25.134,25.236,25.65,26.203,26.584,27.155,27.386,27.565,27.702,27.507,28.039,28.271,28.457,29.12,29.217,29.596,30.055,31.294,32.909,34.518,35.774,37.649,38.639,39.391,41.104,41.685,41.346,42.457,43.176,42.879,42.534,43.071,43.509,44.411,45.825,46.266,46.685,47.908,50.15,51.233,51.952,53.954,55.084,55.581,56.498,57.415,58.631,60.904,63.02,63.791,63.879,64.728,64.852,65.463,66.045,66.269,65.919,65.807,66.481,66.589,66.838,68.294,68.217,68.65,68.677,69.118,68.989,68.918,69.328,69.772,69.965,71.113,71.609,72.274,72.867,73.109,73.285,73.694,74.306,75.883,76.546,77.69,79.128,79.83,80.441,82.371,82.515,83.754,84.267,84.631,85.39,84.859,84.678,84.916,84.987,85.544,85.63,85.827,86.459,86.633,87.346,87.443,87.78,88.806,88.961,89.504,90.291,90.592,91.063,91.745,92.67,93.678,94.575,94.669,94.848,95.27,95.545,95.984,96.222,96.612,97.149,97.496,97.732,98.002,98.532,98.944,99.633,100.555,100.867,101.839,102.557,103.485,103.966,104.393,104.418,104.296,104.508,105.075,105.753,106.544,107.707,108.337,109.562,110.047,110.571,110.394,111.59,111.837,112.467,112.951,113.022,114.014,114.498,115.974,117.526,119.024,120.184,121.835,124.459
"73","65","P1GRAG D         Cereals","P1GRAG3",24.849,24.667,24.545,24.607,24.728,24.991,25.173,25.334,25.315,25.413,25.353,25.373,25.494,25.616,25.917,26.078,25.594,25.232,24.89,24.526,25.937,26.242,26.663,27.006,27.045,27.146,27.208,27.206,27.772,27.974,28.175,28.396,28.295,28.274,28.395,28.538,28.034,27.81,27.811,27.871,27.489,27.612,27.691,27.852,31.314,32.57,34.003,35.069,28.09,28.479,29.022,29.02,37.427,37.989,39.079,39.035,38.534,39.419,41.634,44.506,47.807,50.191,49.217,48.67,48.27,47.275,45.95,46.15,45.12,43.914,43.553,42.862,41.495,40.932,39.575,38.917,40.198,41.489,42.512,43.121,43.77,44.321,45.538,47.156,48.468,50.528,52.121,53.685,55.35,56.183,57.075,57.906,58.715,58.737,58.759,58.88,58.761,59.504,60.003,60.445,60.904,61.643,62.101,62.376,63.087,63.604,64.077,64.846,65.058,65.253,65.741,65.992,66.351,67.099,67.45,68.393,69.705,70.77,73.111,74.933,76.535,77.667,79.535,80.358,80.734,82.101,83.099,83.965,85.057,85.751,85.591,86.767,87.917,88.406,89.422,89.955,90.222,91.118,91.49,92.236,93.88,94.781,95.615,95.389,95.005,95.682,96.12,96.722,97.452,97.088,96.001,95.733,96.296,96.441,97.128,97.168,97.145,97.422,98.104,98.305,99.078,99.627,99.703,99.439,99.155,100.116,100.177,100.556,100.327,100.913,102.203,102.865,103.458,103.496,103.06,103.496,105.046,105.352,105.636,105.068,105.785,105.22,105.881,106.357,106.718,106.03,105.922,105.865,105.272,106.168,106.813,107.587,108.577,110.232,111.362,112.496,115.583,119.942
"74","66","P1BAKG D         Bakery products","P1BAKG3",18.565,18.719,18.718,18.795,18.891,19.007,19.466,19.695,19.811,19.868,19.83,19.945,20.098,20.098,20.175,20.213,20.557,20.615,20.596,20.578,20.634,20.539,20.711,20.961,20.998,20.94,20.845,20.98,21.593,21.822,22.594,22.915,22.761,22.627,22.512,22.531,22.435,22.532,22.895,23.049,23.202,23.221,23.451,23.737,24.236,24.409,24.946,25.136,25.232,25.386,25.635,25.289,25.388,25.558,25.596,25.614,26.111,27.147,28.719,32.512,34.071,35.791,36.095,37.32,38.855,37.71,36.745,36.652,36.748,36.844,36.844,36.69,36.614,36.803,36.92,36.918,37.709,38.475,39.395,40.254,41.299,42.157,43.44,44.55,45.867,47.125,47.756,49.099,50.682,51.569,51.983,52.641,53.294,53.685,54.053,54.332,54.979,55.327,55.601,56.039,56.903,57.283,57.995,58.515,59.061,59.36,59.679,60.049,60.236,60.46,61.048,61.361,61.928,62.478,62.779,63.26,64.306,65.047,66.429,67.765,68.989,70.29,71.356,72.373,73.329,74.241,74.898,75.407,76.447,76.805,77.333,77.854,78.627,79.474,80.213,80.528,80.809,81.609,82.325,82.94,83.499,84.482,85.352,85.546,85.951,86.687,87.565,88.312,89.68,90.84,92.037,92.958,93.353,93.458,93.812,94.226,94.896,95.431,96.121,96.398,96.949,97.466,97.636,98.312,98.635,99.319,100.538,101.5,102.699,103.318,104.143,104.692,105.474,105.989,106.348,106.933,107.96,108.846,109.786,109.558,110.07,111.613,111.909,112.018,112.652,113.596,113.734,114.454,115.417,115.485,117.389,118.165,119.598,121.084,122.489,124.48,127.947,133.755
"75","67","P1BEEG D         Beef and veal","P1BEEG3",25.862,25.914,25.838,25.563,25.214,25.464,25.089,24.763,25.314,24.786,24.215,24.589,25.064,25.289,25.805,26.314,26.062,24.989,25.189,25.038,24.487,24.238,24.712,24.862,24.788,25.623,26.485,26.164,26.937,27.585,26.913,26.987,27.088,26.713,27.238,28.115,28.211,28.062,28.237,29.063,29.436,30.992,32.309,32.161,32.285,32.609,32.561,33.111,32.959,33.933,34.107,35.331,36.836,36.808,37.358,38.03,41.466,44.48,46.117,46.428,48.281,45.413,44.873,45.128,43.214,45.227,48.573,48.453,46.281,43.848,44.552,44.777,44.486,43.98,44.189,45.947,48.345,54.48,57.088,58.75,65.519,70.921,69.094,70.847,72.188,70.235,72.914,75.446,73.13,71.487,73.365,73.633,71.801,74.169,75.447,72.76,71.575,73.097,72.485,70.933,73.416,73.117,71.699,71.687,72.293,70.676,68.614,70.634,71.167,69.045,70.257,71.87,73.12,75.563,76.597,76.809,76.981,79.281,79.955,80.637,82.53,83.911,84.09,84.959,88.018,89.194,90.408,92.309,92.174,92.345,92.128,91.621,91.186,91.417,91.239,91.804,93.168,94.469,94.958,94.528,93.683,93.287,92.549,91.857,92.447,91.636,90.883,91.184,90.87,89.536,90.933,92.407,92.387,92.164,92.483,92.581,92.188,91.932,91.918,92.274,92.35,93.451,94.085,96.096,97.512,100.023,101.304,101.081,106.38,108.543,109.4,109.108,108.533,109.094,107.903,108.298,111.751,114.284,117.101,129.617,130.062,131.435,133.403,132.678,134.84,137.425,134.332,134.837,137.24,136.083,135.429,137.028,139.042,143.76,143.494,143.85,144.498,145.912
"76","68","P1PORG D         Pork","P1PORG3",25.109,24.23,23.07,22.703,22.214,23.688,23.739,24.768,25.291,24.573,24.232,24.793,24.773,24.672,25.067,25.241,24.722,23.839,24.405,24.257,24.01,24.082,24.226,24.404,24.624,26.213,28.979,30.095,33.483,31.808,30.653,29.981,28.799,28.651,29.275,28.855,28.709,28.954,28.734,29.349,29.421,30.714,32.15,33.652,34.638,34.439,33.16,31.723,30.161,30.309,29.916,30.894,33.343,34.518,35.425,37.171,41.076,44.846,50.249,49.693,49.91,44.475,43.768,47.706,49.443,51.881,60.41,65.681,60.516,59.041,57.62,53.416,53.084,54.027,55.497,55.822,58.529,62.643,61.311,62.822,65.958,65.19,59.241,56.963,58.041,55.966,59.209,63.683,62.844,62.998,65.63,65.695,66.425,71.587,74.566,75.728,75.691,72.966,68.422,66.699,68.896,69.966,69.784,69.186,70.439,69.228,67.96,68.621,70.927,70.724,75.887,79.08,78.809,79.767,80.954,79.063,77.859,78.191,76.067,74.948,76.392,76.114,75.694,78.503,81.69,85.83,89.435,91.739,91.523,90.609,89.359,87.237,85.336,84.598,84.702,84.633,85.278,86.756,87.492,87.98,88.849,88.64,87.327,85.912,86.594,86.293,87.456,90.085,91.413,93.988,98.184,100.253,100.926,101.422,101.115,99.853,97.919,95.803,94.57,92.944,92.148,92.956,93.105,94.624,97.254,100.278,101.32,101.088,101.916,103.301,104.707,105.133,105.464,104.248,102.178,101.712,103.546,104.271,105.802,107.807,108.511,110.397,113.089,113.282,114.493,114.501,112.406,112.935,112.834,113.042,113.385,113.899,114.438,116.557,115.689,115.73,114.746,116.918
